 format: day,hour,forecast,value  location:52_110 Start : 20160301 
1,200,4,45
1,200,7,65
1,200,10,80
1,200,13,80
1,200,16,80
1,200,19,80
1,200,22,80
1,200,25,65
1,200,28,60
1,200,31,65
1,200,34,75
1,200,37,80
1,200,40,85
1,200,43,90
1,200,46,85
1,200,49,75
1,200,52,70
1,200,55,75
1,200,58,85
1,200,61,95
1,500,4,65
1,500,7,80
1,500,10,80
1,500,13,80
1,500,16,80
1,500,19,80
1,500,22,65
1,500,25,60
1,500,28,65
1,500,31,75
1,500,34,80
1,500,37,85
1,500,40,90
1,500,43,85
1,500,46,75
1,500,49,70
1,500,52,75
1,500,55,85
1,500,58,95
1,800,4,80
1,800,7,80
1,800,10,80
1,800,13,80
1,800,16,80
1,800,19,65
1,800,22,60
1,800,25,65
1,800,28,75
1,800,31,80
1,800,34,85
1,800,37,90
1,800,40,85
1,800,43,75
1,800,46,70
1,800,49,75
1,800,52,85
1,800,55,95
1,1100,4,80
1,1100,7,80
1,1100,10,80
1,1100,13,80
1,1100,16,65
1,1100,19,60
1,1100,22,65
1,1100,25,75
1,1100,28,80
1,1100,31,85
1,1100,34,90
1,1100,37,85
1,1100,40,75
1,1100,43,70
1,1100,46,75
1,1100,49,85
1,1100,52,95
1,1400,4,80
1,1400,7,80
1,1400,10,80
1,1400,13,65
1,1400,16,60
1,1400,19,65
1,1400,22,75
1,1400,25,80
1,1400,28,85
1,1400,31,90
1,1400,34,85
1,1400,37,75
1,1400,40,70
1,1400,43,75
1,1400,46,85
1,1400,49,95
1,1700,4,80
1,1700,7,80
1,1700,10,65
1,1700,13,60
1,1700,16,65
1,1700,19,75
1,1700,22,80
1,1700,25,85
1,1700,28,90
1,1700,31,85
1,1700,34,75
1,1700,37,70
1,1700,40,75
1,1700,43,85
1,1700,46,95
1,2000,4,85
1,2000,7,70
1,2000,10,65
1,2000,13,70
1,2000,16,80
1,2000,19,85
1,2000,22,90
1,2000,25,90
1,2000,28,80
1,2000,31,65
1,2000,34,65
1,2000,37,75
1,2000,40,80
1,2000,43,85
1,2000,46,85
1,2000,49,80
1,2000,52,75
1,2000,55,65
1,2000,58,65
1,2000,61,75
1,2000,64,85
1,2000,67,90
1,2300,4,70
1,2300,7,65
1,2300,10,70
1,2300,13,80
1,2300,16,85
1,2300,19,90
1,2300,22,90
1,2300,25,80
1,2300,28,65
1,2300,31,65
1,2300,34,75
1,2300,37,80
1,2300,40,85
1,2300,43,85
1,2300,46,80
1,2300,49,75
1,2300,52,65
1,2300,55,65
1,2300,58,75
1,2300,61,85
1,2300,64,90
2,200,4,65
2,200,7,70
2,200,10,80
2,200,13,85
2,200,16,90
2,200,19,90
2,200,22,80
2,200,25,65
2,200,28,65
2,200,31,75
2,200,34,80
2,200,37,85
2,200,40,85
2,200,43,80
2,200,46,75
2,200,49,65
2,200,52,65
2,200,55,75
2,200,58,85
2,200,61,90
2,500,4,70
2,500,7,80
2,500,10,85
2,500,13,90
2,500,16,90
2,500,19,80
2,500,22,65
2,500,25,65
2,500,28,75
2,500,31,80
2,500,34,85
2,500,37,85
2,500,40,80
2,500,43,75
2,500,46,65
2,500,49,65
2,500,52,75
2,500,55,85
2,500,58,90
2,800,4,80
2,800,7,85
2,800,10,90
2,800,13,90
2,800,16,80
2,800,19,65
2,800,22,65
2,800,25,75
2,800,28,80
2,800,31,85
2,800,34,85
2,800,37,80
2,800,40,75
2,800,43,65
2,800,46,65
2,800,49,75
2,800,52,85
2,800,55,90
2,1100,4,85
2,1100,7,90
2,1100,10,90
2,1100,13,80
2,1100,16,65
2,1100,19,65
2,1100,22,75
2,1100,25,80
2,1100,28,85
2,1100,31,85
2,1100,34,80
2,1100,37,75
2,1100,40,65
2,1100,43,65
2,1100,46,75
2,1100,49,85
2,1100,52,90
2,1400,4,90
2,1400,7,90
2,1400,10,80
2,1400,13,65
2,1400,16,65
2,1400,19,75
2,1400,22,80
2,1400,25,85
2,1400,28,85
2,1400,31,80
2,1400,34,75
2,1400,37,65
2,1400,40,65
2,1400,43,75
2,1400,46,85
2,1400,49,90
2,1700,4,90
2,1700,7,80
2,1700,10,65
2,1700,13,65
2,1700,16,75
2,1700,19,80
2,1700,22,85
2,1700,25,85
2,1700,28,80
2,1700,31,75
2,1700,34,65
2,1700,37,65
2,1700,40,75
2,1700,43,85
2,1700,46,90
2,2000,4,80
2,2000,7,65
2,2000,10,65
2,2000,13,75
2,2000,16,80
