 format: day,hour,forecast,value  location:51_109 Start : 20160301 
1,200,4,46
1,200,7,64
1,200,10,79
1,200,13,79
1,200,16,78
1,200,19,79
1,200,22,79
1,200,25,66
1,200,28,62
1,200,31,66
1,200,34,74
1,200,37,78
1,200,40,84
1,200,43,89
1,200,46,84
1,200,49,76
1,200,52,72
1,200,55,76
1,200,58,84
1,200,61,94
1,500,4,64
1,500,7,79
1,500,10,79
1,500,13,78
1,500,16,79
1,500,19,79
1,500,22,66
1,500,25,62
1,500,28,66
1,500,31,74
1,500,34,78
1,500,37,84
1,500,40,89
1,500,43,84
1,500,46,76
1,500,49,72
1,500,52,76
1,500,55,84
1,500,58,94
1,800,4,79
1,800,7,79
1,800,10,78
1,800,13,79
1,800,16,79
1,800,19,66
1,800,22,62
1,800,25,66
1,800,28,74
1,800,31,78
1,800,34,84
1,800,37,89
1,800,40,84
1,800,43,76
1,800,46,72
1,800,49,76
1,800,52,85
1,800,55,95
1,1100,4,79
1,1100,7,78
1,1100,10,79
1,1100,13,79
1,1100,16,66
1,1100,19,62
1,1100,22,66
1,1100,25,74
1,1100,28,78
1,1100,31,84
1,1100,34,89
1,1100,37,84
1,1100,40,76
1,1100,43,72
1,1100,46,76
1,1100,49,85
1,1100,52,95
1,1400,4,78
1,1400,7,79
1,1400,10,79
1,1400,13,66
1,1400,16,62
1,1400,19,66
1,1400,22,74
1,1400,25,78
1,1400,28,84
1,1400,31,89
1,1400,34,84
1,1400,37,76
1,1400,40,72
1,1400,43,76
1,1400,46,85
1,1400,49,95
1,1700,4,79
1,1700,7,79
1,1700,10,66
1,1700,13,62
1,1700,16,66
1,1700,19,74
1,1700,22,78
1,1700,25,84
1,1700,28,89
1,1700,31,84
1,1700,34,76
1,1700,37,72
1,1700,40,76
1,1700,43,85
1,1700,46,95
1,2000,4,84
1,2000,7,72
1,2000,10,67
1,2000,13,70
1,2000,16,79
1,2000,19,85
1,2000,22,90
1,2000,25,89
1,2000,28,81
1,2000,31,66
1,2000,34,67
1,2000,37,76
1,2000,40,80
1,2000,43,85
1,2000,46,85
1,2000,49,81
1,2000,52,76
1,2000,55,66
1,2000,58,67
1,2000,61,76
1,2000,64,85
1,2000,67,90
1,2300,4,72
1,2300,7,67
1,2300,10,70
1,2300,13,79
1,2300,16,85
1,2300,19,90
