 format: day,hour,forecast,value  location:51_109 Start : 20160301 
1,200,4,2.2
1,200,7,0.3
1,200,10,-0.4
1,200,13,-0.4
1,200,16,-0.4
1,200,19,-0.4
1,200,22,4.3
1,200,25,8.2
1,200,28,9.1
1,200,31,6.1
1,200,34,5.2
1,200,37,4.2
1,200,40,4.2
1,200,43,3.3
1,200,46,5.2
1,200,49,10
1,200,52,10.9
1,200,55,9.8
1,200,58,7.2
1,200,61,6.1
1,500,4,0.3
1,500,7,-0.4
1,500,10,-0.4
1,500,13,-0.4
1,500,16,-0.4
1,500,19,4.3
1,500,22,8.2
1,500,25,9.1
1,500,28,6.1
1,500,31,5.2
1,500,34,4.2
1,500,37,4.2
1,500,40,3.3
1,500,43,5.2
1,500,46,10
1,500,49,10.9
1,500,52,9.8
1,500,55,7.2
1,500,58,6.1
1,800,4,-0.5
1,800,7,-0.5
1,800,10,-0.3
1,800,13,-0.3
1,800,16,4.4
1,800,19,8.1
1,800,22,9.1
1,800,25,6.2
1,800,28,5.2
1,800,31,4.2
1,800,34,4.1
1,800,37,3.2
1,800,40,5.2
1,800,43,9.9
1,800,46,12
1,800,49,9.9
1,800,52,7.2
1,800,55,6.1
1,1100,4,-0.5
1,1100,7,-0.3
1,1100,10,-0.3
1,1100,13,4.4
1,1100,16,8.1
1,1100,19,9.1
1,1100,22,6.2
1,1100,25,5.2
1,1100,28,4.2
1,1100,31,4.1
1,1100,34,3.2
1,1100,37,5.2
1,1100,40,9.9
1,1100,43,12
1,1100,46,9.9
1,1100,49,7.2
1,1100,52,6.1
1,1400,4,-1.6
1,1400,7,-0.7
1,1400,10,4.1
1,1400,13,8.1
1,1400,16,9.1
1,1400,19,6.2
1,1400,22,5.2
1,1400,25,4.2
1,1400,28,4.1
1,1400,31,3.2
1,1400,34,5.2
1,1400,37,9.9
1,1400,40,12
1,1400,43,9.9
1,1400,46,7.2
1,1400,49,6.1
1,1700,4,-0.7
1,1700,7,4.1
1,1700,10,8.1
1,1700,13,9.1
1,1700,16,6.2
1,1700,19,5.2
1,1700,22,4.2
1,1700,25,4.1
1,1700,28,3.2
1,1700,31,5.2
1,1700,34,9.9
1,1700,37,12
1,1700,40,9.9
1,1700,43,7.2
1,1700,46,6.1
1,2000,4,1.4
1,2000,7,6.1
1,2000,10,8
1,2000,13,7
1,2000,16,4.9
1,2000,19,4.1
1,2000,22,3.1
1,2000,25,3.1
1,2000,28,6
1,2000,31,9.8
1,2000,34,11
1,2000,37,10
1,2000,40,8.9
1,2000,43,8
1,2000,46,8.1
1,2000,49,8.1
1,2000,52,11.8
1,2000,55,13.9
1,2000,58,15
1,2000,61,14.1
1,2000,64,14.1
1,2000,67,12.8
1,2300,4,6.1
1,2300,7,8
1,2300,10,7
1,2300,13,4.9
1,2300,16,4.1
1,2300,19,3.1
1,2300,22,3.1
1,2300,25,6
1,2300,28,9.8
1,2300,31,11
1,2300,34,10
1,2300,37,8.9
1,2300,40,8
1,2300,43,8.1
1,2300,46,8.1
1,2300,49,11.8
1,2300,52,13.9
1,2300,55,15
1,2300,58,14.1
1,2300,61,14.1
1,2300,64,12.8
2,200,4,8.3
2,200,7,7.1
2,200,10,6.1
2,200,13,5.2
2,200,16,4.2
2,200,19,4.1
2,200,22,7
2,200,25,9.9
2,200,28,11
2,200,31,10
2,200,34,8.9
2,200,37,8
2,200,40,8.1
2,200,43,8.1
2,200,46,11.8
2,200,49,13.9
2,200,52,15
2,200,55,14.1
2,200,58,14.1
2,200,61,12.8
2,500,4,7.1
2,500,7,6.1
2,500,10,5.2
2,500,13,4.2
2,500,16,4.1
2,500,19,7
2,500,22,9.9
2,500,25,11
2,500,28,10
2,500,31,8.9
2,500,34,8
2,500,37,8.1
2,500,40,8.1
2,500,43,11.8
2,500,46,13.9
2,500,49,15
2,500,52,14.1
2,500,55,14.1
2,500,58,12.8
2,800,4,5.1
2,800,7,5.2
2,800,10,4.1
2,800,13,4.2
2,800,16,7
2,800,19,9.9
2,800,22,10.9
2,800,25,10.1
2,800,28,9
2,800,31,8.1
2,800,34,8.1
2,800,37,8.1
2,800,40,11.9
2,800,43,14
2,800,46,15
2,800,49,14.2
2,800,52,14.1
2,800,55,12.8
2,1100,4,5.2
2,1100,7,4.1
2,1100,10,4.2
2,1100,13,7
2,1100,16,9.9
2,1100,19,10.9
2,1100,22,10.1
2,1100,25,9
2,1100,28,8.1
2,1100,31,8.1
2,1100,34,8.1
2,1100,37,11.9
2,1100,40,14
2,1100,43,15
2,1100,46,14.2
2,1100,49,14.1
2,1100,52,12.8
2,1400,4,3.2
2,1400,7,3.2
2,1400,10,7
2,1400,13,9.9
2,1400,16,10.9
2,1400,19,10.1
2,1400,22,9
2,1400,25,8.1
2,1400,28,8.1
2,1400,31,8.1
2,1400,34,11.9
2,1400,37,14
2,1400,40,15
2,1400,43,14.2
2,1400,46,14.1
2,1400,49,12.8
2,1700,4,3.2
2,1700,7,7
2,1700,10,9.9
2,1700,13,10.9
2,1700,16,10.1
2,1700,19,9
2,1700,22,8.1
2,1700,25,8.1
2,1700,28,8.1
2,1700,31,11.9
2,1700,34,14
2,1700,37,15
2,1700,40,14.2
2,1700,43,14.1
2,1700,46,12.8
2,2000,4,7.3
2,2000,7,10.1
2,2000,10,11.8
2,2000,13,11
2,2000,16,9
2,2000,19,8.1
2,2000,22,8.3
2,2000,25,8.2
2,2000,28,11.9
2,2000,31,14.1
2,2000,34,15.1
2,2000,37,14.1
2,2000,40,13.1
2,2000,43,12
2,2000,46,12
2,2000,49,11.7
2,2000,52,12.7
2,2000,55,16
2,2000,58,14
2,2000,61,12
2,2000,64,10.1
2,2000,67,8
2,2300,4,10.1
2,2300,7,11.8
2,2300,10,11
2,2300,13,9
2,2300,16,8.1
2,2300,19,8.3
2,2300,22,8.2
2,2300,25,11.9
2,2300,28,14.1
2,2300,31,15.1
2,2300,34,14.1
2,2300,37,13.1
2,2300,40,12
2,2300,43,12
2,2300,46,11.7
2,2300,49,12.7
2,2300,52,16
2,2300,55,14
2,2300,58,12
2,2300,61,10.1
2,2300,64,8
3,200,4,11.8
3,200,7,10.1
3,200,10,9
3,200,13,8.1
3,200,16,8.3
3,200,19,8.2
3,200,22,11.9
3,200,25,14.1
3,200,28,15.1
3,200,31,14.1
3,200,34,13.1
3,200,37,12
3,200,40,12
3,200,43,11.7
3,200,46,12.7
3,200,49,16
3,200,52,14
3,200,55,12
3,200,58,10.1
3,200,61,8
3,500,4,10.1
3,500,7,9
3,500,10,8.1
3,500,13,8.3
3,500,16,8.2
3,500,19,11.9
3,500,22,14.1
3,500,25,15.1
3,500,28,14.1
3,500,31,13.1
3,500,34,12
3,500,37,12
3,500,40,11.8
3,500,43,12.7
3,500,46,16
3,500,49,14
3,500,52,12
3,500,55,10.1
3,500,58,8
3,800,4,8.9
3,800,7,8.2
3,800,10,8.2
3,800,13,8.2
3,800,16,11.9
3,800,19,14.1
3,800,22,15.1
3,800,25,14.1
3,800,28,13.1
3,800,31,12
3,800,34,12
3,800,37,11.8
3,800,40,12.7
3,800,43,16
3,800,46,14
3,800,49,12
3,800,52,8.2
3,800,55,6.2
3,1100,4,8.2
3,1100,7,8.2
3,1100,10,8.1
3,1100,13,11.9
3,1100,16,14.1
3,1100,19,15.1
3,1100,22,14.1
3,1100,25,13.1
3,1100,28,12
3,1100,31,12
3,1100,34,11.8
3,1100,37,12.7
3,1100,40,16
3,1100,43,14
3,1100,46,12
3,1100,49,8.2
3,1100,52,6.2
3,1400,4,8.1
3,1400,7,8.1
3,1400,10,11.9
3,1400,13,14.1
3,1400,16,15.1
3,1400,19,14.1
3,1400,22,13.1
3,1400,25,12
3,1400,28,12
3,1400,31,11.8
3,1400,34,12.7
3,1400,37,16
3,1400,40,14
3,1400,43,12
3,1400,46,8.2
3,1400,49,6.2
3,1700,4,8.1
3,1700,7,11.9
3,1700,10,14.1
3,1700,13,15.1
3,1700,16,14.1
3,1700,19,13.1
3,1700,22,12
3,1700,25,12
3,1700,28,11.8
3,1700,31,12.7
3,1700,34,16
3,1700,37,14
3,1700,40,12
3,1700,43,8.2
3,1700,46,6.2
3,2000,4,12
3,2000,7,14
3,2000,10,15.1
3,2000,13,14.1
3,2000,16,13.1
3,2000,19,12.1
3,2000,22,12
3,2000,25,11.8
3,2000,28,12.7
3,2000,31,15.8
3,2000,34,13.9
3,2000,37,11.9
3,2000,40,8.1
3,2000,43,6.2
3,2000,46,4.1
3,2000,49,2.2
3,2000,52,3.3
3,2000,55,9.1
3,2000,58,11.1
3,2000,61,8.5
3,2000,64,6.5
3,2000,67,4.6
3,2300,4,14
3,2300,7,15.1
3,2300,10,14.1
3,2300,13,13.1
3,2300,16,12.1
3,2300,19,12
3,2300,22,11.8
3,2300,25,12.7
3,2300,28,15.8
3,2300,31,13.9
3,2300,34,11.9
3,2300,37,8.1
3,2300,40,6.2
3,2300,43,4.1
3,2300,46,2.2
3,2300,49,3.3
3,2300,52,9.1
3,2300,55,11.1
3,2300,58,8.5
3,2300,61,6.5
3,2300,64,4.6
4,200,4,16.1
4,200,7,14.1
4,200,10,13.1
4,200,13,11.8
4,200,16,11.7
4,200,19,11.3
4,200,22,12.4
4,200,25,15.7
4,200,28,14
4,200,31,11.8
4,200,34,8.2
4,200,37,6.2
4,200,40,4.3
4,200,43,2.8
4,200,46,4.2
4,200,49,9
4,200,52,11
4,200,55,8.7
4,200,58,6.6
4,200,61,5.2
4,500,4,14.1
4,500,7,13.1
4,500,10,11.8
4,500,13,11.7
4,500,16,11.3
4,500,19,12.4
4,500,22,15.7
4,500,25,14
4,500,28,11.8
4,500,31,8.2
4,500,34,6.2
4,500,37,4.3
4,500,40,2.8
4,500,43,4.2
4,500,46,9
4,500,49,11
4,500,52,8.7
4,500,55,6.6
4,500,58,5.2
4,800,4,13.7
4,800,7,12.3
4,800,10,11.8
4,800,13,10.9
4,800,16,12.8
4,800,19,16.1
4,800,22,14
4,800,25,11.7
4,800,28,8.3
4,800,31,6.1
4,800,34,4.8
4,800,37,3.9
4,800,40,5.2
4,800,43,9.2
4,800,46,11.3
4,800,49,8.8
4,800,52,6.5
4,800,55,5.1
4,1100,4,12.7
4,1100,7,11.8
4,1100,10,10.9
4,1100,13,12.8
4,1100,16,16.1
4,1100,19,14
4,1100,22,11.7
4,1100,25,8.3
4,1100,28,6.1
4,1100,31,4.8
4,1100,34,3.9
4,1100,37,5.2
4,1100,40,9.2
4,1100,43,11.3
4,1100,46,8.8
4,1100,49,6.5
4,1100,52,5.1
4,1400,4,12
4,1400,7,11
4,1400,10,12.9
4,1400,13,15.9
4,1400,16,13.9
4,1400,19,11.9
4,1400,22,8.1
4,1400,25,6.1
4,1400,28,5
4,1400,31,4.1
4,1400,34,5.1
4,1400,37,9.3
4,1400,40,11.4
4,1400,43,8.4
4,1400,46,6.2
4,1400,49,4.5
4,1700,4,11
4,1700,7,12.9
4,1700,10,15.9
4,1700,13,13.9
4,1700,16,11.9
4,1700,19,8.1
4,1700,22,6.1
4,1700,25,5
4,1700,28,4.1
