 format: day,hour,forecast,value  location:52_110 Start : 20160301 
1,200,4,3
1,200,7,4
1,200,10,2
1,200,13,2
1,200,16,2
1,200,19,2
1,200,22,3
1,200,25,3
1,200,28,5
1,200,31,7
1,200,34,3
1,200,37,2
1,200,40,2
1,200,43,2
1,200,46,2
1,200,49,4
1,200,52,5
1,200,55,3
1,200,58,2
1,200,61,1
1,500,4,4
1,500,7,2
1,500,10,2
1,500,13,2
1,500,16,2
1,500,19,3
1,500,22,3
1,500,25,5
1,500,28,7
1,500,31,3
1,500,34,2
1,500,37,2
1,500,40,2
1,500,43,2
1,500,46,4
1,500,49,5
1,500,52,3
1,500,55,2
1,500,58,1
1,800,4,2
1,800,7,2
1,800,10,2
1,800,13,2
1,800,16,3
1,800,19,3
1,800,22,5
1,800,25,7
1,800,28,3
1,800,31,2
1,800,34,2
1,800,37,2
1,800,40,2
1,800,43,4
1,800,46,5
1,800,49,3
1,800,52,2
1,800,55,1
1,1100,4,2
1,1100,7,2
1,1100,10,2
1,1100,13,3
1,1100,16,3
1,1100,19,5
1,1100,22,7
1,1100,25,3
1,1100,28,2
1,1100,31,2
1,1100,34,2
1,1100,37,2
1,1100,40,4
1,1100,43,5
1,1100,46,3
1,1100,49,2
1,1100,52,1
1,1400,4,2
1,1400,7,2
1,1400,10,3
1,1400,13,3
1,1400,16,5
1,1400,19,7
1,1400,22,3
1,1400,25,2
1,1400,28,2
1,1400,31,2
1,1400,34,2
1,1400,37,4
1,1400,40,5
1,1400,43,3
1,1400,46,2
1,1400,49,1
1,1700,4,2
1,1700,7,3
1,1700,10,3
1,1700,13,5
1,1700,16,7
1,1700,19,3
1,1700,22,2
1,1700,25,2
1,1700,28,2
1,1700,31,2
1,1700,34,4
1,1700,37,5
1,1700,40,3
1,1700,43,2
1,1700,46,1
1,2000,4,3
1,2000,7,5
1,2000,10,7
1,2000,13,8
1,2000,16,6
1,2000,19,3
1,2000,22,3
1,2000,25,3
1,2000,28,2
1,2000,31,4
1,2000,34,6
1,2000,37,6
1,2000,40,5
1,2000,43,2
1,2000,46,2
1,2000,49,3
1,2000,52,2
1,2000,55,4
1,2000,58,6
1,2000,61,4
1,2000,64,5
1,2000,67,3
1,2300,4,5
1,2300,7,7
1,2300,10,8
1,2300,13,6
1,2300,16,3
1,2300,19,3
1,2300,22,3
1,2300,25,2
1,2300,28,4
1,2300,31,6
1,2300,34,6
1,2300,37,5
1,2300,40,2
1,2300,43,2
1,2300,46,3
1,2300,49,2
1,2300,52,4
1,2300,55,6
1,2300,58,4
1,2300,61,5
1,2300,64,3
2,200,4,7
2,200,7,8
2,200,10,6
2,200,13,3
2,200,16,3
2,200,19,3
2,200,22,2
