 format: day,hour,forecast,value  location:51_109 Start : 20160301 
1,200,4,3
1,200,7,3.9
1,200,10,2
1,200,13,2
1,200,16,2
1,200,19,1.9
1,200,22,2.7
1,200,25,2.9
1,200,28,4.7
1,200,31,6.6
1,200,34,3
1,200,37,2
1,200,40,2
1,200,43,2
1,200,46,1.9
1,200,49,3.6
1,200,52,4.8
1,200,55,2.9
1,200,58,2.2
1,200,61,1
1,500,4,3.9
1,500,7,2
1,500,10,2
1,500,13,2
1,500,16,1.9
1,500,19,2.7
1,500,22,2.9
1,500,25,4.7
1,500,28,6.6
1,500,31,3
1,500,34,2
1,500,37,2
1,500,40,2
1,500,43,1.9
1,500,46,3.6
1,500,49,4.7
1,500,52,2.9
1,500,55,2.2
1,500,58,1
1,800,4,2
1,800,7,2
1,800,10,2
1,800,13,1.9
1,800,16,2.7
1,800,19,2.8
1,800,22,4.7
1,800,25,6.6
1,800,28,2.9
1,800,31,1.9
1,800,34,2
1,800,37,2
1,800,40,1.9
1,800,43,3.6
1,800,46,4.7
1,800,49,2.8
1,800,52,2.1
1,800,55,1
1,1100,4,2
1,1100,7,2
1,1100,10,1.9
1,1100,13,2.7
1,1100,16,2.8
1,1100,19,4.7
1,1100,22,6.6
1,1100,25,2.9
1,1100,28,1.9
1,1100,31,2
1,1100,34,2
1,1100,37,1.9
1,1100,40,3.6
1,1100,43,4.7
1,1100,46,2.8
1,1100,49,2.1
1,1100,52,1
1,1400,4,2
1,1400,7,1.9
1,1400,10,2.7
1,1400,13,2.8
1,1400,16,4.7
1,1400,19,6.6
1,1400,22,2.9
1,1400,25,1.9
1,1400,28,2
1,1400,31,2
1,1400,34,1.9
1,1400,37,3.6
1,1400,40,4.7
1,1400,43,2.8
1,1400,46,2.1
1,1400,49,1
1,1700,4,1.9
1,1700,7,2.7
1,1700,10,2.8
1,1700,13,4.7
1,1700,16,6.6
1,1700,19,2.9
1,1700,22,1.9
1,1700,25,2
1,1700,28,2
1,1700,31,1.9
1,1700,34,3.6
1,1700,37,4.7
1,1700,40,2.8
1,1700,43,2.1
1,1700,46,1
1,2000,4,2.9
1,2000,7,4.7
1,2000,10,6.7
1,2000,13,7.6
1,2000,16,5.5
1,2000,19,2.7
1,2000,22,2.8
1,2000,25,2.9
1,2000,28,2
1,2000,31,3.7
1,2000,34,5.7
1,2000,37,5.7
1,2000,40,4.9
1,2000,43,1.9
1,2000,46,2
1,2000,49,2.9
1,2000,52,2
1,2000,55,3.9
1,2000,58,5.7
1,2000,61,3.8
1,2000,64,4.6
1,2000,67,2.7
1,2300,4,4.7
1,2300,7,6.7
1,2300,10,7.6
1,2300,13,5.5
1,2300,16,2.7
1,2300,19,2.8
1,2300,22,2.9
1,2300,25,2
1,2300,28,3.7
1,2300,31,5.7
1,2300,34,5.7
1,2300,37,4.9
1,2300,40,1.9
1,2300,43,2
1,2300,46,2.9
1,2300,49,2
1,2300,52,3.9
1,2300,55,5.7
1,2300,58,3.8
1,2300,61,4.6
1,2300,64,2.7
2,200,4,6.7
2,200,7,7.6
2,200,10,5.5
2,200,13,2.7
2,200,16,2.8
2,200,19,2.9
2,200,22,2
2,200,25,3.7
2,200,28,5.7
2,200,31,5.7
2,200,34,4.9
2,200,37,1.9
2,200,40,2
2,200,43,2.9
2,200,46,2
2,200,49,3.9
2,200,52,5.7
2,200,55,3.8
2,200,58,4.6
2,200,61,2.7
2,500,4,7.6
2,500,7,5.5
2,500,10,2.7
2,500,13,2.8
2,500,16,2.9
2,500,19,2
2,500,22,3.7
2,500,25,5.7
2,500,28,5.7
2,500,31,4.9
2,500,34,1.9
2,500,37,2
2,500,40,2.9
2,500,43,2
2,500,46,3.9
2,500,49,5.7
2,500,52,3.8
2,500,55,4.6
2,500,58,2.7
2,800,4,5.5
2,800,7,2.6
2,800,10,2.9
2,800,13,2.9
2,800,16,3.8
2,800,19,4
2,800,22,5.7
2,800,25,5.7
2,800,28,4.9
2,800,31,3.6
2,800,34,2.9
2,800,37,2.9
2,800,40,2.9
2,800,43,4
2,800,46,5.7
2,800,49,3.8
2,800,52,4.6
2,800,55,2.7
2,1100,4,2.6
2,1100,7,2.9
2,1100,10,2.9
2,1100,13,3.8
2,1100,16,4
2,1100,19,5.7
2,1100,22,5.7
2,1100,25,4.9
2,1100,28,3.6
2,1100,31,2.9
2,1100,34,2.9
2,1100,37,2.9
2,1100,40,4
2,1100,43,5.7
2,1100,46,3.8
2,1100,49,4.6
2,1100,52,2.7
2,1400,4,2.9
2,1400,7,2.9
2,1400,10,3.8
2,1400,13,4
