지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),지면온도(°C)
129,서산,2019-01-01 00:00,-1.4,,2.2,63,3.5,-7.5,1032.5,1035.8,,,-1.1
129,서산,2019-01-01 01:00,-2.4,,1,65,3.3,-8,1032.4,1035.8,,,-1.7
129,서산,2019-01-01 02:00,-3,,.2,71,3.5,-7.5,1032.6,1036,,,-1.6
129,서산,2019-01-01 03:00,-1.8,,1.6,66,3.5,-7.3,1032.8,1036.2,,,-1.3
129,서산,2019-01-01 04:00,-1.7,,1.2,63,3.4,-7.8,1032.3,1035.7,,,-1.3
129,서산,2019-01-01 05:00,-1.7,,1.6,61,3.3,-8.2,1031.8,1035.2,,,-1.5
129,서산,2019-01-01 06:00,-2.2,,1.1,63,3.3,-8.3,1031.2,1034.6,,,-2
129,서산,2019-01-01 07:00,-4.4,,.4,75,3.3,-8.1,1031,1034.4,,,-2.7
129,서산,2019-01-01 08:00,-3.5,,.3,74,3.5,-7.4,1030.9,1034.3,0,0,-1.7
129,서산,2019-01-01 09:00,-2.6,,.7,72,3.6,-6.9,1031.2,1034.6,0,.08,-1.1
129,서산,2019-01-01 10:00,-1.9,,1.1,68,3.6,-7,1031.5,1034.9,.4,.5,.1
129,서산,2019-01-01 11:00,-1.4,,1.3,69,3.8,-6.3,1031.3,1034.6,.7,.89,.8
129,서산,2019-01-01 12:00,-1.8,.1,1,86,4.6,-3.8,1030.5,1033.8,0,.58,.7
129,서산,2019-01-01 13:00,-2,,.4,91,4.8,-3.2,1029.5,1032.8,0,.46,-.1
129,서산,2019-01-01 14:00,-.5,,3.1,81,4.8,-3.3,1029.2,1032.5,0,.36,.6
129,서산,2019-01-01 15:00,.3,.4,6.4,58,3.6,-7,1029.3,1032.6,.4,.76,.9
129,서산,2019-01-01 16:00,.2,,4.8,57,3.5,-7.3,1029.4,1032.7,.2,.48,.1
129,서산,2019-01-01 17:00,-.4,,4.3,57,3.4,-7.8,1029.9,1033.2,.3,.18,-.3
129,서산,2019-01-01 18:00,-.8,,3.8,57,3.3,-8.2,1030.3,1033.6,0,.01,-.6
129,서산,2019-01-01 19:00,-1.5,,3.4,59,3.2,-8.4,1030.6,1033.9,,,-1.2
129,서산,2019-01-01 20:00,-1.5,,3.6,61,3.3,-8,1030.9,1034.2,,,-1.5
129,서산,2019-01-01 21:00,-1.8,,4.3,59,3.2,-8.7,1030.9,1034.2,,,-2
129,서산,2019-01-01 22:00,-2.3,,4.2,59,3,-9.2,1031,1034.4,,,-2.4
129,서산,2019-01-01 23:00,-2.8,,2.3,59,2.9,-9.7,1031.3,1034.7,,,-2.8
129,서산,2019-01-02 00:00,-3.8,,1.1,63,2.9,-9.8,1031.3,1034.7,,,-3.1
129,서산,2019-01-02 01:00,-4.6,,1.5,68,3,-9.6,1031.4,1034.8,,,-3.2
129,서산,2019-01-02 02:00,-5.2,,.7,72,3,-9.4,1031.6,1035,,,-3.5
129,서산,2019-01-02 03:00,-6.8,,.6,82,3,-9.3,1031.6,1035,,,-3.7
129,서산,2019-01-02 04:00,-7.9,,.2,85,2.9,-9.9,1031.2,1034.6,,,-4.4
129,서산,2019-01-02 05:00,-8.2,,1,87,2.9,-9.9,1031.1,1034.5,,,-4.5
129,서산,2019-01-02 06:00,-8.5,,.9,85,2.8,-10.5,1031.3,1034.7,,,-4.6
129,서산,2019-01-02 07:00,-8.2,,.7,82,2.7,-10.7,1031.8,1035.2,,,-4.6
129,서산,2019-01-02 08:00,-8.6,,.8,85,2.7,-10.6,1032.4,1035.8,0,0,-4.8
129,서산,2019-01-02 09:00,-6.2,,0,81,3.1,-8.9,1033.3,1036.7,.7,.34,-3.3
129,서산,2019-01-02 10:00,-2.6,,.2,63,3.2,-8.6,1033.3,1036.7,1,1.04,-.3
129,서산,2019-01-02 11:00,-.1,,2.8,60,3.6,-6.9,1032.8,1036.1,1,1.51,2.2
129,서산,2019-01-02 12:00,.3,,4.5,50,3.1,-8.9,1031.9,1035.2,1,1.63,4.4
129,서산,2019-01-02 13:00,.5,,3.8,49,3.1,-9,1031.3,1034.6,1,1.9,5.5
129,서산,2019-01-02 14:00,.8,,3.7,48,3.1,-8.9,1030.6,1033.9,1,1.87,5.6
129,서산,2019-01-02 15:00,.4,,3.6,48,3,-9.3,1030.6,1033.9,1,1.54,3.5
129,서산,2019-01-02 16:00,.4,,2.8,49,3.1,-9,1030.7,1034,1,1.04,1
129,서산,2019-01-02 17:00,-.6,,2.3,58,3.4,-7.8,1030.8,1034.1,1,.46,-.7
129,서산,2019-01-02 18:00,-2.8,,.6,65,3.2,-8.4,1031.2,1034.6,.2,.03,-1.4
129,서산,2019-01-02 19:00,-3.5,,1.1,69,3.3,-8.3,1031.3,1034.7,,,-2
129,서산,2019-01-02 20:00,-5.1,,.5,74,3.1,-9,1031.5,1034.9,,,-2.5
129,서산,2019-01-02 21:00,-6.4,,.3,80,3,-9.2,1031.5,1034.9,,,-2.9
129,서산,2019-01-02 22:00,-7.1,,0,82,3,-9.6,1031.4,1034.8,,,-3.3
129,서산,2019-01-02 23:00,-8.1,,.3,84,2.8,-10.3,1031.9,1035.3,,,-3.7
129,서산,2019-01-03 00:00,-7.9,,.5,85,2.9,-9.9,1032,1035.4,,,-4.2
129,서산,2019-01-03 01:00,-9,,.5,86,2.7,-10.9,1031.9,1035.3,,,-4.5
129,서산,2019-01-03 02:00,-8.5,,0,87,2.8,-10.2,1032.2,1035.6,,,-4.7
129,서산,2019-01-03 03:00,-8.5,,.6,90,2.9,-9.8,1032.3,1035.7,,,-5
129,서산,2019-01-03 04:00,-8.8,,.4,85,2.7,-10.8,1032.2,1035.6,,,-5.1
129,서산,2019-01-03 05:00,-8.5,,.6,85,2.8,-10.5,1032.5,1035.9,,,-5.4
129,서산,2019-01-03 06:00,-9.2,,.7,87,2.7,-10.9,1032.7,1036.2,,,-5.6
129,서산,2019-01-03 07:00,-9.6,,.4,88,2.6,-11.2,1032.3,1035.8,,,-5.9
129,서산,2019-01-03 08:00,-9.8,,.3,88,2.6,-11.4,1032.9,1036.4,0,0,-5.8
129,서산,2019-01-03 09:00,-6.9,,0,84,3.1,-9.1,1033.6,1037,.8,.37,-4
129,서산,2019-01-03 10:00,-2.8,,.4,75,3.7,-6.6,1034.3,1037.7,1,.93,-.4
129,서산,2019-01-03 11:00,-.5,,1.5,52,3.1,-9.1,1033.9,1037.2,1,1.32,2.9
