지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),지면온도(°C)
129,서산,2020-01-01 00:00,-7.2,,.2,0,84,-9.4,-1.4
129,서산,2020-01-01 01:00,-5.7,,.2,0,80,-8.6,-.9
129,서산,2020-01-01 02:00,-5.1,,1.1,200,77,-8.5,-.9
129,서산,2020-01-01 03:00,-4.3,,.7,70,77,-7.7,-.8
129,서산,2020-01-01 04:00,-4.1,,1.1,50,85,-6.2,-.8
129,서산,2020-01-01 05:00,-3.9,,.1,0,88,-5.5,-.7
129,서산,2020-01-01 06:00,-3.3,.2,.8,90,88,-5,-.7
129,서산,2020-01-01 07:00,-3,,.7,230,86,-5,-.6
129,서산,2020-01-01 08:00,-2.6,,0,0,87,-4.4,-.6
129,서산,2020-01-01 09:00,-1.7,,.9,230,84,-4,-.4
129,서산,2020-01-01 10:00,.9,,1.9,200,69,-4.1,-.2
129,서산,2020-01-01 11:00,2.8,,3.3,250,59,-4.4,.6
129,서산,2020-01-01 12:00,4,,2.7,250,50,-5.5,1.6
129,서산,2020-01-01 13:00,4.8,,3.1,250,50,-4.7,4.9
129,서산,2020-01-01 14:00,4.1,,3.2,270,55,-4.1,4.9
129,서산,2020-01-01 15:00,3.6,,2.7,250,58,-3.9,3.6
129,서산,2020-01-01 16:00,3.5,,2.2,250,58,-4,2.9
129,서산,2020-01-01 17:00,2,,1.3,20,70,-2.9,2.3
129,서산,2020-01-01 18:00,1.6,,.5,110,74,-2.5,1.9
129,서산,2020-01-01 19:00,1.2,,.5,70,78,-2.2,1.7
129,서산,2020-01-01 20:00,.8,,.1,0,84,-1.6,1.6
129,서산,2020-01-01 21:00,.2,,0,0,87,-1.7,1.1
129,서산,2020-01-01 22:00,-.5,,.6,180,90,-1.9,.3
129,서산,2020-01-01 23:00,-1.3,,.2,0,92,-2.4,-.1
129,서산,2020-01-02 00:00,-2.3,,0,0,96,-2.8,-.3
129,서산,2020-01-02 01:00,-2.8,,0,0,96,-3.3,-.6
129,서산,2020-01-02 02:00,-2.6,,0,0,97,-3,-.5
129,서산,2020-01-02 03:00,-1.6,,0,0,97,-2,-.3
129,서산,2020-01-02 04:00,-1.5,,0,0,96,-2,-.3
129,서산,2020-01-02 05:00,-1.3,,0,0,94,-2.1,-.3
129,서산,2020-01-02 06:00,-1.1,,.7,160,93,-2,-.3
129,서산,2020-01-02 07:00,-.8,,0,0,89,-2.3,-.2
129,서산,2020-01-02 08:00,-.4,,.6,160,89,-1.9,-.2
129,서산,2020-01-02 09:00,.4,,.7,110,88,-1.3,-.1
129,서산,2020-01-02 10:00,.9,,.3,0,86,-1.1,1.8
129,서산,2020-01-02 11:00,2.3,,1.1,250,86,.1,4
129,서산,2020-01-02 12:00,4,,3,180,72,-.6,4.8
129,서산,2020-01-02 13:00,4.5,,2.1,180,70,-.5,4.5
129,서산,2020-01-02 14:00,4.4,,1.7,200,72,-.2,4
129,서산,2020-01-02 15:00,4.8,,1,230,69,-.4,4
129,서산,2020-01-02 16:00,5.3,,1.6,270,67,-.3,4.2
129,서산,2020-01-02 17:00,4.7,,2.9,290,64,-1.5,2.7
129,서산,2020-01-02 18:00,4,,1.5,270,66,-1.7,2.4
129,서산,2020-01-02 19:00,1,,.1,0,79,-2.2,.3
129,서산,2020-01-02 20:00,.1,,0,0,86,-1.9,.1
129,서산,2020-01-02 21:00,.1,,.2,0,90,-1.3,.2
129,서산,2020-01-02 22:00,.2,,0,0,91,-1.1,.7
129,서산,2020-01-02 23:00,.2,,.2,0,92,-.9,.7
129,서산,2020-01-03 00:00,.5,,1.1,50,89,-1.1,.2
129,서산,2020-01-03 01:00,.9,,.6,50,86,-1.1,0
129,서산,2020-01-03 02:00,-.4,,1.1,90,91,-1.6,-.1
129,서산,2020-01-03 03:00,-1,,.1,0,94,-1.8,-.2
129,서산,2020-01-03 04:00,-.4,,.7,160,95,-1.1,-.1
129,서산,2020-01-03 05:00,-.2,,1.3,70,94,-1,0
129,서산,2020-01-03 06:00,.1,,1.2,50,88,-1.6,-.1
129,서산,2020-01-03 07:00,-.5,,.9,70,88,-2.2,-.3
129,서산,2020-01-03 08:00,-2.4,,.5,180,96,-2.9,-.4
129,서산,2020-01-03 09:00,-.8,,0,0,96,-1.3,-.2
129,서산,2020-01-03 10:00,1.6,,.3,0,82,-1.1,.6
129,서산,2020-01-03 11:00,4.1,,1.3,320,70,-.8,5.3
129,서산,2020-01-03 12:00,5.3,,3.1,340,61,-1.6,7.2
129,서산,2020-01-03 13:00,5.5,,3.2,340,56,-2.5,8.4
129,서산,2020-01-03 14:00,6,,3.1,320,51,-3.3,8.7
129,서산,2020-01-03 15:00,6.5,,3.3,290,47,-4,7.8
129,서산,2020-01-03 16:00,5.8,,2.3,340,47,-4.6,6.3
129,서산,2020-01-03 17:00,4,,2.9,320,56,-4,3.7
129,서산,2020-01-03 18:00,1.6,,1.9,290,72,-2.9,1.8
129,서산,2020-01-03 19:00,.3,,0,0,77,-3.2,.5
129,서산,2020-01-03 20:00,-1.2,,.5,110,85,-3.4,0
129,서산,2020-01-03 21:00,-2.3,,.8,50,90,-3.7,-.2
129,서산,2020-01-03 22:00,-2.8,,.4,0,92,-3.9,-.5
129,서산,2020-01-03 23:00,-3.4,,0,0,93,-4.3,-.7
129,서산,2020-01-04 00:00,-3.7,,0,0,94,-4.5,-.8
129,서산,2020-01-04 01:00,-3.8,,0,0,97,-4.2,-.9
129,서산,2020-01-04 02:00,-3.9,,0,0,95,-4.5,-.9
129,서산,2020-01-04 03:00,-3.9,,.1,0,95,-4.5,-1
129,서산,2020-01-04 04:00,-4,,.2,0,97,-4.4,-.8
129,서산,2020-01-04 05:00,-3.3,,.1,0,96,-3.8,-.8
129,서산,2020-01-04 06:00,-2.4,,.2,0,97,-2.8,-.4
129,서산,2020-01-04 07:00,-1.9,,.7,160,97,-2.3,-.5
129,서산,2020-01-04 08:00,-2.9,,0,0,98,-3.1,-.8
129,서산,2020-01-04 09:00,-1.7,,.1,0,98,-1.9,-.4
129,서산,2020-01-04 10:00,.2,,0,0,94,-.6,-.2
129,서산,2020-01-04 11:00,2.9,,.2,0,86,.7,.5
129,서산,2020-01-04 13:00,7.3,,4,290,58,-.4,6.8
129,서산,2020-01-04 14:00,7.7,,4.2,320,41,-4.7,7.3
129,서산,2020-01-04 15:00,7.9,,4.1,320,47,-2.7,7
129,서산,2020-01-04 16:00,7.2,,3.6,320,45,-3.9,5.6
129,서산,2020-01-04 17:00,5.7,,1.7,340,52,-3.4,3.5
129,서산,2020-01-04 18:00,3.1,,.9,360,60,-3.9,1.2
129,서산,2020-01-04 19:00,.1,,.5,360,73,-4.1,.2
129,서산,2020-01-04 20:00,-.6,,.6,90,75,-4.4,0
129,서산,2020-01-04 21:00,-1.8,,.4,0,84,-4.1,-.2
129,서산,2020-01-04 22:00,-2.5,,.3,0,87,-4.3,-.5
129,서산,2020-01-04 23:00,-2.1,,.3,0,81,-4.9,-.7
129,서산,2020-01-05 00:00,-3.6,,.2,0,88,-5.3,-.8
129,서산,2020-01-05 01:00,-3.9,,.6,180,92,-5,-.9
129,서산,2020-01-05 02:00,-3.6,,.6,340,88,-5.3,-.9
129,서산,2020-01-05 03:00,-4.7,,.5,50,91,-5.9,-1.1
129,서산,2020-01-05 04:00,-4.9,,.1,0,91,-6.1,-1.2
129,서산,2020-01-05 05:00,-5.3,,0,0,93,-6.2,-1.3
129,서산,2020-01-05 06:00,-4.9,,.4,0,91,-6.1,-1.4
129,서산,2020-01-05 07:00,-5.6,,.6,160,93,-6.5,-1.5
129,서산,2020-01-05 08:00,-5.3,,.4,0,94,-6.1,-1.6
129,서산,2020-01-05 09:00,-3.3,,0,0,90,-4.7,-.9
129,서산,2020-01-05 10:00,2.2,,1.3,50,61,-4.5,-.3
129,서산,2020-01-05 11:00,4.6,,1.7,90,49,-5.2,0
129,서산,2020-01-05 12:00,6.1,,1.8,20,35,-8.2,2
129,서산,2020-01-05 13:00,6.7,,1.9,20,31,-9.2,4.4
129,서산,2020-01-05 14:00,7.2,,1.9,360,31,-8.8,6.1
129,서산,2020-01-05 15:00,7.2,,1.7,360,28,-10.1,6.1
129,서산,2020-01-05 16:00,6.4,,1.8,360,30,-9.9,5
129,서산,2020-01-05 17:00,5,,1.7,360,38,-8.1,3.3
129,서산,2020-01-05 18:00,3.8,,1.1,20,42,-7.9,2
129,서산,2020-01-05 19:00,2.7,,1,50,47,-7.5,1.3
129,서산,2020-01-05 20:00,2.1,,1,20,51,-7,.4
129,서산,2020-01-05 21:00,.8,,.7,20,58,-6.5,-.1
129,서산,2020-01-05 22:00,.7,,1.2,20,63,-5.5,-.1
129,서산,2020-01-05 23:00,1,,1,50,63,-5.2,-.1
129,서산,2020-01-06 00:00,1.8,,1.7,20,57,-5.8,-.1
129,서산,2020-01-06 01:00,2,,1.9,70,56,-5.8,-.1
129,서산,2020-01-06 02:00,2.4,,1.4,70,53,-6.2,-.1
129,서산,2020-01-06 03:00,1.8,,.9,360,64,-4.2,0
129,서산,2020-01-06 04:00,1.8,,.3,0,60,-5.1,.4
129,서산,2020-01-06 05:00,1.9,,1,360,61,-4.8,.8
129,서산,2020-01-06 06:00,1.3,,1.4,200,71,-3.3,1.1
129,서산,2020-01-06 07:00,.9,,.9,90,81,-1.9,.8
129,서산,2020-01-06 08:00,1.4,,.8,360,79,-1.8,1.2
129,서산,2020-01-06 09:00,1.9,,1.1,20,88,.1,1.9
129,서산,2020-01-06 10:00,3.3,,1.3,230,84,.8,2.7
129,서산,2020-01-06 11:00,3.9,,3.1,70,75,-.1,3.5
129,서산,2020-01-06 12:00,4.1,,1.9,70,84,1.6,4.1
129,서산,2020-01-06 13:00,4.6,,2,50,81,1.6,4.7
129,서산,2020-01-06 14:00,4.6,,2.8,70,88,2.7,4.9
129,서산,2020-01-06 15:00,4.2,,2.6,70,90,2.7,4.6
129,서산,2020-01-06 16:00,3.8,,3.2,70,94,2.9,4.2
129,서산,2020-01-06 17:00,3.8,,3.5,70,98,3.5,3.9
129,서산,2020-01-06 18:00,4,,3.3,70,98,3.7,3.7
129,서산,2020-01-06 19:00,4.1,,3.8,70,98,3.8,3.8
129,서산,2020-01-06 20:00,4.1,,3.4,70,98,3.8,3.8
129,서산,2020-01-06 21:00,4.3,,3.2,70,98,4,3.9
129,서산,2020-01-06 22:00,4.6,,2.8,50,98,4.3,4
129,서산,2020-01-06 23:00,4.6,,3.2,50,98,4.3,4.1
129,서산,2020-01-07 00:00,4.8,,3.7,70,98,4.5,4.1
129,서산,2020-01-07 01:00,5,,2.7,70,98,4.7,4.3
129,서산,2020-01-07 02:00,5.4,,2.7,70,98,5.1,4.5
129,서산,2020-01-07 03:00,5.7,7.4,2.2,50,98,5.4,4.7
129,서산,2020-01-07 04:00,5.9,,2.3,50,98,5.6,4.9
129,서산,2020-01-07 05:00,6.1,,1.5,20,98,5.8,4.9
129,서산,2020-01-07 06:00,6.1,9.2,2.1,50,98,5.8,5
129,서산,2020-01-07 07:00,6.5,,1.3,20,98,6.2,5.1
129,서산,2020-01-07 08:00,6.4,,1.2,20,98,6.1,5.1
129,서산,2020-01-07 09:00,6.5,5.6,2.2,50,98,6.2,5.4
129,서산,2020-01-07 10:00,7,,1.7,70,98,6.7,5.8
129,서산,2020-01-07 11:00,7.4,,1.3,50,98,7,6
129,서산,2020-01-07 12:00,7.6,4.9,1.1,20,98,7.2,6.4
129,서산,2020-01-07 13:00,7.9,,.9,20,98,7.5,6.7
129,서산,2020-01-07 14:00,7.9,,1.3,360,98,7.5,6.7
129,서산,2020-01-07 15:00,8.2,2.2,1.8,50,98,7.8,6.7
129,서산,2020-01-07 16:00,8.4,,.9,360,98,8,6.7
129,서산,2020-01-07 17:00,8.8,,.4,0,98,8.4,6.8
129,서산,2020-01-07 18:00,11.9,5.5,3.8,180,98,11.5,8
129,서산,2020-01-07 19:00,12.9,,5.8,180,98,12.5,9.5
129,서산,2020-01-07 20:00,12.9,,6,180,98,12.5,10.1
129,서산,2020-01-07 21:00,11.9,6.2,5.5,200,98,11.5,9.8
129,서산,2020-01-07 22:00,11.1,,5.9,180,98,10.7,9.4
129,서산,2020-01-07 23:00,10,,5.5,180,98,9.6,8.9
129,서산,2020-01-08 00:00,7.4,1.2,6.3,250,98,7,7.8
129,서산,2020-01-08 01:00,6.4,,4.8,250,98,6.1,6.9
129,서산,2020-01-08 02:00,6.2,,6.3,270,98,5.9,6.5
129,서산,2020-01-08 03:00,5,.3,8.2,270,91,3.6,5.7
129,서산,2020-01-08 04:00,4.1,,5.8,270,94,3.2,5.2
129,서산,2020-01-08 05:00,4.6,,6.6,270,92,3.4,5
129,서산,2020-01-08 06:00,4.1,.9,5.9,290,91,2.7,4.7
129,서산,2020-01-08 07:00,3.9,,6.1,270,92,2.7,4.5
129,서산,2020-01-08 08:00,4,,5.8,270,88,2.1,4.4
129,서산,2020-01-08 09:00,3.8,0,6,290,90,2.3,4.3
129,서산,2020-01-08 10:00,3.6,,4.9,290,93,2.5,4.4
129,서산,2020-01-08 11:00,3.8,,4.4,290,88,1.9,4.7
129,서산,2020-01-08 12:00,3.6,.1,3.6,270,89,1.9,5
129,서산,2020-01-08 13:00,3.6,,3.3,290,87,1.6,4.8
129,서산,2020-01-08 14:00,3.4,,3.5,320,86,1.2,4.6
129,서산,2020-01-08 15:00,3.4,0,4,290,86,1.2,4.6
129,서산,2020-01-08 16:00,3.3,,2.9,290,86,1.1,4.3
129,서산,2020-01-08 17:00,3,,3.4,270,86,.8,4
129,서산,2020-01-08 18:00,2.7,,4.1,270,84,.2,3.7
129,서산,2020-01-08 19:00,2.7,,4,270,82,0,3.5
129,서산,2020-01-08 20:00,2.6,,3.1,290,76,-1.2,3.3
129,서산,2020-01-08 21:00,2.6,,4.8,290,71,-2.1,3
129,서산,2020-01-08 22:00,2.6,,3.1,290,71,-2.1,2.9
129,서산,2020-01-08 23:00,2.6,,3.7,320,68,-2.7,2.8
129,서산,2020-01-09 00:00,2.5,,4,320,67,-3,2.6
129,서산,2020-01-09 01:00,2,,2.6,340,67,-3.4,2.4
129,서산,2020-01-09 02:00,1.7,,1.6,320,69,-3.3,2.2
129,서산,2020-01-09 03:00,1.3,,2.1,340,70,-3.5,1.6
129,서산,2020-01-09 04:00,.8,,2.1,290,74,-3.3,1.3
129,서산,2020-01-09 05:00,.8,,2.3,340,69,-4.2,.8
129,서산,2020-01-09 06:00,.4,,1.2,320,70,-4.4,.8
129,서산,2020-01-09 07:00,-.2,,.6,320,74,-4.2,.2
129,서산,2020-01-09 08:00,-.7,,.5,270,78,-4,0
129,서산,2020-01-09 09:00,.6,,.5,270,71,-4,1.5
129,서산,2020-01-09 10:00,1.5,,3.1,320,65,-4.3,3.3
129,서산,2020-01-09 11:00,1.7,,3.3,320,66,-3.9,4
129,서산,2020-01-09 12:00,3.1,,3.6,320,59,-4.1,8.1
129,서산,2020-01-09 13:00,3.1,,3.7,320,57,-4.6,8.5
129,서산,2020-01-09 14:00,4.2,,2.9,320,56,-3.8,10.3
129,서산,2020-01-09 15:00,3.1,,3.5,320,56,-4.8,7.6
129,서산,2020-01-09 16:00,2.4,,3.5,320,65,-3.5,6
129,서산,2020-01-09 17:00,1.7,,3.2,320,64,-4.3,4.2
129,서산,2020-01-09 18:00,.6,,1.6,320,68,-4.6,2.1
129,서산,2020-01-09 19:00,-.7,,.6,320,78,-4,.9
129,서산,2020-01-09 20:00,-1.6,,.2,0,86,-3.6,.2
129,서산,2020-01-09 21:00,-2.3,,.1,0,91,-3.5,-.1
129,서산,2020-01-09 22:00,-3.2,,.5,70,92,-4.3,-.1
129,서산,2020-01-09 23:00,-2.9,,1.3,70,94,-3.7,-.2
129,서산,2020-01-10 00:00,-3.5,,.4,0,96,-4,-.3
129,서산,2020-01-10 01:00,-3.8,,0,0,96,-4.3,-.4
129,서산,2020-01-10 02:00,-4.3,,.5,50,95,-4.9,-.5
129,서산,2020-01-10 03:00,-4.1,,.3,0,96,-4.6,-.5
129,서산,2020-01-10 04:00,-3.4,,1,70,95,-4,-.6
129,서산,2020-01-10 05:00,-4.1,,0,0,95,-4.7,-.7
129,서산,2020-01-10 06:00,-3.8,,.4,0,91,-5,-.7
129,서산,2020-01-10 07:00,-3.8,,.8,90,95,-4.4,-.7
129,서산,2020-01-10 08:00,-4.3,,.2,0,94,-5.1,-.7
129,서산,2020-01-10 09:00,-3.3,,.3,0,96,-3.8,-.5
129,서산,2020-01-10 10:00,-1.1,,.3,0,87,-2.9,-.2
129,서산,2020-01-10 11:00,1,,1.3,50,73,-3.3,-.1
129,서산,2020-01-10 12:00,2.5,,1.1,50,64,-3.6,1.4
129,서산,2020-01-10 13:00,3.9,,2.7,360,52,-5,5.7
129,서산,2020-01-10 14:00,4.8,,1.5,340,55,-3.4,7.4
129,서산,2020-01-10 15:00,4.2,,1.8,340,53,-4.5,5.8
129,서산,2020-01-10 16:00,4.8,,2.2,320,52,-4.2,5
129,서산,2020-01-10 17:00,3.5,,2.2,320,59,-3.7,3.3
129,서산,2020-01-10 18:00,1.7,,.8,340,66,-3.9,1.1
129,서산,2020-01-10 19:00,-.6,,.1,0,82,-3.2,.1
129,서산,2020-01-10 20:00,-.9,,.4,0,84,-3.2,0
129,서산,2020-01-10 21:00,-1.7,,.2,0,88,-3.4,-.1
129,서산,2020-01-10 22:00,-2.1,,.2,0,90,-3.5,-.2
129,서산,2020-01-10 23:00,-2.4,,.7,110,92,-3.5,-.3
129,서산,2020-01-11 00:00,-2.9,,.1,0,95,-3.5,-.4
129,서산,2020-01-11 01:00,-3,,.1,0,95,-3.6,-.5
129,서산,2020-01-11 02:00,-3.2,,.2,0,95,-3.8,-.6
129,서산,2020-01-11 03:00,-3.5,,.1,0,96,-4,-.5
129,서산,2020-01-11 04:00,-1.9,,.1,0,97,-2.3,-.3
129,서산,2020-01-11 05:00,-1.2,,1,90,96,-1.7,-.3
129,서산,2020-01-11 06:00,-.8,,.5,20,94,-1.6,-.3
129,서산,2020-01-11 07:00,-.9,,0,0,94,-1.7,-.3
129,서산,2020-01-11 08:00,-1,,.4,0,95,-1.7,-.3
129,서산,2020-01-11 09:00,-.1,,1,50,92,-1.2,-.2
129,서산,2020-01-11 10:00,2.3,,.6,110,77,-1.3,-.2
129,서산,2020-01-11 11:00,4.6,,1,320,69,-.6,3.9
129,서산,2020-01-11 12:00,5.5,,2.8,290,55,-2.8,7.9
129,서산,2020-01-11 13:00,5.2,,4.4,320,50,-4.3,7.7
129,서산,2020-01-11 14:00,5.5,,3.4,340,45,-5.5,8.3
129,서산,2020-01-11 15:00,5.2,,4.1,320,46,-5.5,7.1
129,서산,2020-01-11 16:00,4.2,,4.5,320,38,-8.8,5
129,서산,2020-01-11 17:00,2.7,,3.1,340,50,-6.7,2.8
129,서산,2020-01-11 18:00,1.6,,3,340,56,-6.2,1.2
129,서산,2020-01-11 19:00,.5,,1.9,290,66,-5.1,.2
129,서산,2020-01-11 20:00,-.6,,.2,0,74,-4.6,.2
129,서산,2020-01-11 21:00,-.9,,.6,110,77,-4.4,.1
129,서산,2020-01-11 22:00,-1.2,,.3,0,82,-3.8,0
129,서산,2020-01-11 23:00,-1,,.6,50,81,-3.8,.1
129,서산,2020-01-12 00:00,-.8,,.2,0,82,-3.4,.3
129,서산,2020-01-12 01:00,-.5,,0,0,83,-3,.6
129,서산,2020-01-12 02:00,.4,,2.9,290,69,-4.6,.6
129,서산,2020-01-12 03:00,0,,1.4,290,70,-4.8,.2
129,서산,2020-01-12 04:00,-.6,,.5,200,75,-4.4,.1
129,서산,2020-01-12 05:00,-1,,.4,0,78,-4.3,-.1
129,서산,2020-01-12 06:00,-.8,,.5,180,76,-4.5,0
129,서산,2020-01-12 07:00,-.5,,.1,0,78,-3.8,.1
129,서산,2020-01-12 08:00,.4,,1.8,290,66,-5.2,.1
129,서산,2020-01-12 09:00,.6,,1.7,290,66,-5,.3
129,서산,2020-01-12 10:00,2.3,,2.2,320,60,-4.6,3.3
129,서산,2020-01-12 11:00,3.1,,3.9,320,55,-5,6.6
129,서산,2020-01-12 12:00,2.9,,3.3,320,55,-5.2,6.1
129,서산,2020-01-12 13:00,4.4,,5,290,49,-5.4,9.1
129,서산,2020-01-12 14:00,3.9,,5.8,290,53,-4.8,8.5
129,서산,2020-01-12 15:00,3.2,,5.3,270,57,-4.5,6.8
129,서산,2020-01-12 16:00,3.4,,5.2,270,55,-4.8,5.7
129,서산,2020-01-12 17:00,2.2,,5.4,290,60,-4.7,3.2
129,서산,2020-01-12 18:00,1.3,,3.1,290,65,-4.5,1.6
129,서산,2020-01-12 19:00,.6,,2,290,68,-4.6,.6
