지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
637,2020-01-01 1:00,-5.6,169.5,1.8,0,1031.1,1033.7,83,,
637,2020-01-01 2:00,-5,198.1,1.5,0,1030.7,1033.3,81.5,,
637,2020-01-01 3:00,-4.9,163,1.3,0,1030.8,1033.4,77,,
637,2020-01-01 4:00,-4.8,163.9,0.8,0,1030.7,1033.3,84.9,,
637,2020-01-01 5:00,-4.5,166.6,1.5,0,1030.5,1033.1,85.7,,
637,2020-01-01 6:00,-4.3,188.1,1.8,0,1030.2,1032.7,84.9,,
637,2020-01-01 7:00,-3.7,191,3.3,0,1030.3,1032.8,88,,
637,2020-01-01 8:00,-3.3,176.2,1.6,0,1030.6,1033.1,89.6,,
637,2020-01-01 9:00,-2.7,152.9,1.4,0,1030.9,1033.4,84.4,,
637,2020-01-01 10:00,-1.8,90.9,0.8,0,1031.5,1034,81.7,,
637,2020-01-01 11:00,-0.1,132.3,1.5,0,1030.8,1033.3,79.3,,
637,2020-01-01 12:00,0.4,144.6,1.1,0,1030,1032.5,73.1,,
637,2020-01-01 13:00,0.6,57.2,2.2,0,1029.4,1031.9,82.6,,
637,2020-01-01 14:00,0.8,78.2,2.1,0,1028.9,1031.4,81.8,,
637,2020-01-01 15:00,0.8,51,1.8,0,1029.3,1031.8,86.8,,
637,2020-01-01 16:00,0.6,50.2,1.1,0,1029.8,1032.3,92.2,,
637,2020-01-01 17:00,0.7,67.1,1,0,1029.7,1032.2,90.7,,
637,2020-01-01 18:00,0.5,75.7,0.9,0,1029.7,1032.2,92.2,,
637,2020-01-01 19:00,0.1,0,0.1,0,1029.4,1031.9,94,,
637,2020-01-01 20:00,0.3,0,0.2,0,1029.3,1031.8,94,,
637,2020-01-01 21:00,0.4,0,0.1,0,1029.3,1031.8,92.6,,
637,2020-01-01 22:00,0,0,0.4,0,1029.4,1031.9,95.4,,
637,2020-01-01 23:00,0.3,125.5,0.6,0,1029.5,1032,94.9,,
637,2020-01-02 0:00,0.5,91.9,0.8,0,1029,1031.5,94.6,,
637,2020-01-02 1:00,0.6,0,0.4,0,1028.5,1031,93.8,,
637,2020-01-02 2:00,0.1,116.2,1.3,0,1028.1,1030.6,92.9,,
637,2020-01-02 3:00,-0.3,214.8,1.1,0,1027.9,1030.4,95.2,,
637,2020-01-02 4:00,0,200.6,2.1,0,1027.9,1030.4,93.9,,
637,2020-01-02 5:00,-0.5,172.5,1.1,0,1027.8,1030.3,92.8,,
637,2020-01-02 6:00,-0.3,142.2,1.3,0,1027.9,1030.4,90,,
637,2020-01-02 7:00,-0.2,0,0.3,0,1028.3,1030.8,89.5,,
637,2020-01-02 8:00,0.2,75.8,1.1,0,1028.5,1031,92.2,,
637,2020-01-02 9:00,0.6,125,0.6,0,1028.8,1031.3,90.9,,
637,2020-01-02 10:00,1.5,104.7,1.3,0,1028.7,1031.2,87.5,,
637,2020-01-02 11:00,1.8,0,0.3,0,1028.8,1031.3,83.6,,
637,2020-01-02 12:00,1.9,151.7,0.7,0,1027.9,1030.4,85.6,,
637,2020-01-02 13:00,2.4,173,1,0,1026.8,1029.3,80.7,,
637,2020-01-02 14:00,2.6,170.9,0.6,0,1026.5,1029,79.8,,
637,2020-01-02 15:00,2.5,0,0.3,0,1026.8,1029.3,84.3,,
637,2020-01-02 16:00,3,0,0.3,0,1026.9,1029.4,82.6,,
637,2020-01-02 17:00,2.5,0,0,0,1026.7,1029.2,87,,
637,2020-01-02 18:00,2.3,0,0,0,1026.4,1028.9,89.5,,
637,2020-01-02 19:00,0.5,0,0,0,1026.6,1029.1,96.3,,
637,2020-01-02 20:00,0.2,0,0,0,1026.9,1029.4,97.9,,
637,2020-01-02 21:00,0.9,0,0,0,1027.1,1029.6,95.5,,
637,2020-01-02 22:00,0.5,220.4,0.9,0,1027.4,1029.9,96.7,,
637,2020-01-02 23:00,0.7,178.2,0.8,0,1027.1,1029.6,96.1,,
637,2020-01-03 0:00,0.5,0,0.3,0,1026.6,1029.1,98.1,,
637,2020-01-03 1:00,0.4,297.2,0.7,0,1026.7,1029.2,95.4,,
637,2020-01-03 2:00,0.3,0,0.3,0,1026.3,1028.8,95,,
637,2020-01-03 3:00,1.5,36.4,0.5,0,1026.1,1028.6,84.7,,
