 format: day,hour,value location:55_112 Start : 20160301 
1,0,62
1,100,57
1,200,52
1,300,50
1,400,47
1,500,49
1,600,50
1,700,53
1,800,58
1,900,62
1,1000,67
1,1100,73
1,1200,78
1,1300,79
1,1400,79
1,1500,80
1,1600,80
1,1700,81
1,1800,81
1,1900,81
1,2000,81
1,2100,87
1,2200,86
1,2300,85
2,0,80
2,100,73
2,200,68
2,300,64
2,400,62
2,500,61
2,600,59
2,700,61
2,800,65
2,900,70
2,1000,76
2,1100,79
2,1200,82
2,1300,83
2,1400,83
2,1500,84
2,1600,85
2,1700,86
2,1800,87
2,1900,86
2,2000,87
2,2100,88
2,2200,86
2,2300,83
3,0,80
3,100,73
3,200,67
3,300,61
3,400,59
3,500,57
3,600,57
3,700,59
3,800,62
3,900,68
3,1000,74
3,1100,77
3,1200,79
3,1300,81
3,1400,80
3,1500,81
3,1600,82
3,1700,82
3,1800,82
3,1900,84
3,2000,82
3,2100,80
3,2200,80
3,2300,79
4,0,73
4,100,65
4,200,60
4,300,62
4,400,63
4,500,62
4,600,64
4,700,68
4,800,73
4,900,77
4,1000,82
4,1100,84
4,1200,86
4,1300,88
4,1400,90
4,1500,90
4,1600,89
4,1700,88
4,1800,88
4,1900,86
4,2000,85
4,2100,84
4,2200,84
4,2300,83
5,0,80
5,100,78
5,200,77
5,300,78
5,400,78
5,500,77
5,600,85
5,700,87
5,800,89
5,900,90
5,1000,92
5,1100,94
5,1200,95
5,1300,95
5,1400,95
5,1500,93
5,1600,93
5,1700,92
5,1800,91
5,1900,91
5,2000,91
5,2100,90
5,2200,88
5,2300,87
6,0,86
6,100,72
6,200,65
6,300,53
6,400,51
6,500,46
6,600,41
6,700,43
6,800,48
6,900,52
6,1000,60
6,1100,62
6,1200,66
6,1300,70
6,1400,72
6,1500,77
6,1600,79
6,1700,79
6,1800,80
6,1900,82
6,2000,79
6,2100,68
6,2200,71
6,2300,68
7,0,62
7,100,55
7,200,52
7,300,51
7,400,50
7,500,49
7,600,45
7,700,46
7,800,52
7,900,56
7,1000,61
7,1100,64
7,1200,67
7,1300,67
7,1400,70
7,1500,69
7,1600,67
7,1700,69
7,1800,71
7,1900,69
7,2000,67
7,2100,71
7,2200,67
7,2300,66
8,0,61
8,100,56
8,200,55
8,300,51
8,400,51
8,500,47
8,600,46
8,700,45
8,800,46
8,900,44
8,1000,43
8,1100,48
8,1200,51
8,1300,54
8,1400,54
8,1500,59
8,1600,58
8,1700,57
8,1800,56
8,1900,55
8,2000,55
8,2100,55
8,2200,52
8,2300,49
9,0,45
9,100,43
9,200,41
9,300,39
9,400,38
9,500,37
9,600,37
9,700,38
9,800,40
9,900,41
9,1000,44
9,1100,49
9,1200,51
9,1300,50
9,1400,52
9,1500,51
9,1600,48
9,1700,46
9,1800,44
9,1900,48
9,2000,50
9,2100,48
9,2200,47
9,2300,47
10,0,42
10,100,38
10,200,35
10,300,35
10,400,33
10,500,34
10,600,32
10,700,33
10,800,35
10,900,36
10,1000,44
10,1100,50
10,1200,56
10,1300,58
10,1400,58
10,1500,60
10,1600,64
10,1700,66
10,1800,60
10,1900,59
10,2000,59
10,2100,59
10,2200,59
10,2300,55
11,0,45
11,100,39
11,200,38
11,300,35
11,400,34
11,500,31
11,600,31
11,700,29
11,800,32
11,900,36
11,1000,46
11,1100,54
11,1200,63
11,1300,65
11,1400,65
11,1500,68
11,1600,68
11,1700,68
11,1800,69
11,1900,71
11,2000,72
11,2100,73
11,2200,74
11,2300,72
12,0,66
12,100,59
12,200,53
12,300,48
12,400,47
12,500,46
12,600,45
12,700,46
12,800,50
12,900,55
12,1000,60
12,1100,64
12,1200,67
12,1300,67
12,1400,70
12,1500,70
12,1600,72
12,1700,73
12,1800,74
12,1900,74
12,2000,74
12,2100,74
12,2200,74
12,2300,72
13,0,67
13,100,60
13,200,58
13,300,60
13,400,60
13,500,58
13,600,58
13,700,58
13,800,58
13,900,59
13,1000,70
13,1100,78
13,1200,85
13,1300,87
13,1400,88
