 format: day,hour,value location:55_112 Start : 20160301 
1,0,-3.4
1,100,-1.7
1,200,-0.5
1,300,0.4
1,400,1.5
1,500,1.6
1,600,1.9
1,700,2.4
1,800,1.5
1,900,0.5
1,1000,-0.4
1,1100,-1.2
1,1200,-1.8
1,1300,-1.8
1,1400,-1.9
1,1500,-2.3
1,1600,-2.2
1,1700,-2.8
1,1800,-2.3
1,1900,-1.3
1,2000,-2.2
1,2100,-2.4
1,2200,-2.6
1,2300,-1.3
2,0,1.4
2,100,3.4
2,200,5
2,300,6.7
2,400,7.4
2,500,7.7
2,600,8
2,700,7.4
2,800,6.7
2,900,5
2,1000,4
2,1100,3.6
2,1200,3.4
2,1300,3.5
2,1400,3.5
2,1500,3
2,1600,3.3
2,1700,3.2
2,1800,3.8
2,1900,4
2,2000,3.2
2,2100,3.7
2,2200,4.1
2,2300,4.7
3,0,5.9
3,100,7.2
3,200,8.2
3,300,9.7
3,400,11.6
3,500,12.9
3,600,12.9
3,700,13.1
3,800,12.4
3,900,11
3,1000,8.6
3,1100,7.7
3,1200,7.5
3,1300,7
3,1400,7.6
3,1500,7.1
3,1600,6.7
3,1700,6.8
3,1800,6.7
3,1900,6.9
3,2000,7.3
3,2100,7.5
3,2200,7.5
3,2300,7.7
4,0,10
4,100,12.6
4,200,15.1
4,300,16.200001
4,400,16.6
4,500,18.700001
4,600,17.5
4,700,15.6
4,800,14.4
4,900,13.7
4,1000,12.9
4,1100,12.3
4,1200,12
4,1300,11.9
4,1400,11.2
4,1500,11.1
4,1600,10.5
4,1700,10.1
4,1800,9.9
4,1900,10.7
4,2000,9.9
4,2100,11
4,2200,11.6
4,2300,12
5,0,14.3
5,100,14.9
5,200,16.200001
5,300,15.9
5,400,16.5
5,500,18
5,600,16.1
5,700,14.4
5,800,13.5
5,900,12.6
5,1000,11.5
5,1100,10.5
5,1200,9.4
5,1300,8.4
5,1400,7.5
5,1500,7.1
5,1600,6.4
5,1700,5.4
5,1800,5.1
5,1900,5.2
5,2000,5.1
5,2100,4.6
5,2200,4.1
5,2300,4
6,0,4.5
6,100,6.5
6,200,7.9
6,300,8.9
6,400,9.8
6,500,10.4
6,600,10.9
6,700,11
6,800,9.4
6,900,8
6,1000,6
6,1100,5.8
6,1200,5
6,1300,4
6,1400,3.3
6,1500,3.4
6,1600,2.5
6,1700,2.4
6,1800,2.5
6,1900,1.9
6,2000,3
6,2100,4.3
6,2200,4.4
6,2300,5.2
7,0,7.1
7,100,8.3
7,200,8.6
7,300,9.8
7,400,10.9
7,500,11.1
7,600,10.8
7,700,10.8
7,800,10.1
7,900,9.4
7,1000,7.8
7,1100,6.6
7,1200,6.2
7,1300,5.9
7,1400,5.4
7,1500,5.6
7,1600,5.4
7,1700,5
7,1800,4.5
7,1900,4
7,2000,3.7
7,2100,2.8
7,2200,3.2
7,2300,3.3
8,0,3.5
8,100,3.9
8,200,4
8,300,3.6
8,400,3.8
8,500,3.5
8,600,3
8,700,2.5
8,800,2.5
8,900,1.5
8,1000,2.1
8,1100,1.2
8,1200,1.3
8,1300,0.6
8,1400,-0.3
8,1500,-0.7
8,1600,-1
8,1700,-1
8,1800,-1.1
8,1900,-1.1
8,2000,-1.2
8,2100,-1.2
8,2200,-1.3
8,2300,-0.9
9,0,0
9,100,0.7
9,200,1.8
9,300,2.6
9,400,2.8
9,500,2.8
9,600,2.7
9,700,2.4
9,800,1.6
9,900,1
9,1000,0.3
9,1100,0.1
9,1200,-0.1
9,1300,-0.4
9,1400,-1.1
9,1500,-1.3
9,1600,-1.2
9,1700,-1.2
9,1800,-1.3
9,1900,-1.4
9,2000,-1.3
9,2100,-2
9,2200,-2.1
9,2300,-1.5
10,0,0
10,100,0.2
10,200,0.6
10,300,1.2
10,400,1.9
10,500,1.7
10,600,2
10,700,1.8
10,800,1.4
10,900,0.5
10,1000,-0.3
10,1100,-0.7
10,1200,-1
10,1300,-1
10,1400,-0.8
10,1500,-1.1
10,1600,-0.9
10,1700,-0.9
10,1800,-1.7
10,1900,-3
10,2000,-3.5
10,2100,-3.9
10,2200,-4.4
10,2300,-2.7
11,0,-0.1
11,100,1
11,200,1.6
11,300,2.7
11,400,2.8
11,500,2.9
11,600,2.7
11,700,2.7
11,800,2.3
11,900,1
11,1000,-0.2
11,1100,-0.7
11,1200,-1.2
11,1300,-2.2
11,1400,-1.8
11,1500,-2.4
11,1600,-2.7
11,1700,-2.9
11,1800,-3.2
11,1900,-3.4
11,2000,-3.8
11,2100,-3.5
11,2200,-3.8
11,2300,-2.2
12,0,0.4
12,100,3
12,200,4.8
12,300,6.3
12,400,6.9
12,500,7.3
12,600,7.1
12,700,7
12,800,5.8
12,900,4.1
12,1000,2.8
12,1100,2.1
12,1200,2.1
12,1300,2
12,1400,1.4
12,1500,1
12,1600,0.8
12,1700,0.5
12,1800,0.2
12,1900,0.1
12,2000,0.1
12,2100,0.4
12,2200,0.7
12,2300,1.9
13,0,3.3
13,100,4.8
13,200,4.9
13,300,3.6
13,400,4.3
13,500,5.6
13,600,6.4
13,700,6.6
13,800,6.1
13,900,5.6
13,1000,3.7
13,1100,2.3
13,1200,1.8
13,1300,1.4
13,1400,0.9
13,1500,0.2
13,1600,0.8
13,1700,0.3
13,1800,0.4
13,1900,0.9
13,2000,1
13,2100,0.7
13,2200,0.1
13,2300,1.6
14,0,3.2
14,100,4.4
14,200,6.2
14,300,6.5
14,400,6.8
14,500,7.1
14,600,7.2
14,700,7.2
14,800,6.7
14,900,5.9
14,1000,4.4
14,1100,2.8
14,1200,2.3
14,1300,1.5
14,1400,1.3
14,1500,1.2
14,1600,0.5
14,1700,-0.1
14,1800,-1
14,1900,-1.8
14,2000,-2.5
14,2100,-2
14,2200,-2.7
14,2300,0
15,0,3.6
15,100,5.9
15,200,8
15,300,10
15,400,10.5
15,500,11.6
15,600,10.9
15,700,10
15,800,8.5
15,900,7.3
15,1000,5.9
15,1100,5
15,1200,4.6
15,1300,4
15,1400,3.7
15,1500,2.9
15,1600,3
15,1700,2.8
15,1800,2.3
15,1900,2.6
15,2000,2.4
15,2100,2.2
15,2200,1.5
15,2300,2.5
16,0,5.4
16,100,8.7
16,200,11
16,300,11.4
16,400,13.2
16,500,13.2
16,600,13.2
16,700,12.5
16,800,11.4
16,900,9
16,1000,6.7
16,1100,4.9
16,1200,3.8
16,1300,2.4
16,1400,2.1
16,1500,2
16,1600,1
16,1700,0.1
16,1800,-0.1
16,1900,-0.4
16,2000,-0.7
16,2100,-0.2
16,2200,-0.5
16,2300,2.1
17,0,6.1
17,100,9.3
17,200,11.9
17,300,13.4
17,400,14.7
17,500,14.6
17,600,13.2
17,700,13
17,800,13.1
17,900,12.6
17,1000,11.5
17,1100,10.3
17,1200,10.2
17,1300,9.4
17,1400,8.9
17,1500,9
17,1600,8.6
17,1700,8.1
17,1800,8.7
17,1900,8.7
17,2000,8.8
17,2100,7.9
17,2200,8.6
17,2300,9.3
18,0,10.9
18,100,11.7
18,200,12.5
18,300,14
18,400,13.7
18,500,15.7
18,600,16.5
18,700,17.1
18,800,16
18,900,14.1
18,1000,10.9
18,1100,10
18,1200,8.8
18,1300,8.6
18,1400,8.4
18,1500,7.9
18,1600,7.5
18,1700,6.7
18,1800,6.9
18,1900,6.1
18,2000,5.6
18,2100,5.8
18,2200,5.4
18,2300,6.3
19,0,8.6
19,100,10.8
19,200,11.2
19,300,12.1
19,400,12.2
19,500,12.5
19,600,12.8
19,700,13
19,800,12.4
19,900,11
19,1000,8.4
19,1100,6.9
19,1200,6.6
19,1300,5.9
19,1400,5
19,1500,4.1
19,1600,4.6
19,1700,3.8
19,1800,3.4
19,1900,2.7
19,2000,2.1
19,2100,1.7
19,2200,3.4
19,2300,5.2
20,0,7
20,100,8.7
20,200,10.5
20,300,12.2
20,400,13
20,500,13.8
20,600,14.6
20,700,13.6
20,800,12.6
20,900,11.8
20,1000,10.2
20,1100,8.7
20,1200,7.1
20,1300,6.1
20,1400,5.3
20,1500,4.2
20,1600,3.7
20,1700,3.3
20,1800,2.8
20,1900,2.5
20,2000,1.6
20,2100,1.8
20,2200,1.7
20,2300,2.5
21,0,5.6
21,100,9.1
21,200,11.8
21,300,12.8
21,400,14.5
21,500,15.5
21,600,15.3
21,700,14.6
21,800,13.5
21,900,11.7
21,1000,8.9
21,1100,7
21,1200,5.9
21,1300,5
21,1400,4.6
21,1500,4.2
21,1600,3.4
21,1700,3.4
21,1800,2.8
21,1900,2.6
21,2000,2.6
21,2100,1.8
21,2200,2
21,2300,2.7
22,0,4.5
22,100,7.7
22,200,10.9
22,300,13.5
22,400,13.3
22,500,14.5
22,600,13.6
22,700,11.9
22,800,11.3
22,900,10.1
22,1000,7.6
22,1100,6.7
22,1200,6.1
22,1300,5.4
22,1400,5.5
22,1500,5.4
22,1600,5.3
22,1700,4.8
22,1800,4.6
22,1900,4.1
22,2000,4.2
22,2100,3.2
22,2200,3.2
22,2300,4.7
23,0,6.5
23,100,8
23,200,9.6
23,300,10
23,400,10.2
23,500,10.2
23,600,9.3
23,700,9.3
23,800,8.6
23,900,7.3
23,1000,6.5
23,1100,6.1
23,1200,5.9
23,1300,5.7
23,1400,5
23,1500,4.4
23,1600,3.6
23,1700,3.3
23,1800,2.7
23,1900,2.1
23,2000,1.5
23,2100,0.8
23,2200,0.4
23,2300,3.3
24,0,5.8
24,100,7.4
24,200,8.7
24,300,9.6
24,400,10.6
24,500,10.9
24,600,9.2
24,700,8.6
24,800,7.5
24,900,6.8
24,1000,4.9
24,1100,4
24,1200,3.2
24,1300,2.5
24,1400,2.4
24,1500,1.9
24,1600,1.8
24,1700,0.8
24,1800,1.3
24,1900,0.7
24,2000,0.2
24,2100,-1
24,2200,-0.9
24,2300,1.6
25,0,5.2
25,100,8.1
25,200,9.6
25,300,10.8
25,400,10.3
25,500,9.6
25,600,9.7
25,700,9.4
25,800,8.7
25,900,7.6
25,1000,5.5
25,1100,4.1
25,1200,3.3
25,1300,2.7
25,1400,2.4
25,1500,1.4
25,1600,0.9
25,1700,0.5
25,1800,0.3
25,1900,0
25,2000,-0.4
25,2100,-0.8
25,2200,-1.3
