 format: day,hour,value location:55_112 Start : 20160301 
1,0,1.3
1,100,0.5
1,200,0.7
1,300,1.1
1,400,1
1,500,1.1
1,600,2.2
1,700,2.9
1,800,2.8
1,900,2.8
1,1000,2
1,1100,1.5
1,1200,1.5
1,1300,1.6
1,1400,1.4
1,1500,1.3
1,1600,1.4
1,1700,1
1,1800,1.2
1,1900,1.5
1,2000,1.1
1,2100,1.5
1,2200,1.5
1,2300,1.6
2,0,2
2,100,3.3
2,200,3.4
2,300,4.1
2,400,4.4
2,500,4.7
2,600,4.8
2,700,5.3
2,800,4.7
2,900,3.6
2,1000,3.1
2,1100,3
2,1200,2.2
2,1300,2.3
2,1400,2
2,1500,1.7
2,1600,2
2,1700,2.2
2,1800,1.9
2,1900,1.9
2,2000,0.9
2,2100,1.5
2,2200,1.6
2,2300,1
3,0,1.4
3,100,1.3
3,200,3
3,300,2.3
3,400,2.2
3,500,2.7
3,600,2.6
3,700,2.7
3,800,1.7
3,900,2
3,1000,0.5
3,1100,0.4
3,1200,0.9
3,1300,0.7
3,1400,0.7
3,1500,0.6
3,1600,0.9
3,1700,0.5
3,1800,0.6
3,1900,1
3,2000,1.1
3,2100,0.9
3,2200,0.6
3,2300,1.8
4,0,1.6
4,100,1.4
4,200,2.1
4,300,2.8
4,400,2
4,500,2.5
4,600,2.4
4,700,2.8
4,800,2.5
4,900,2
4,1000,1.7
4,1100,1.4
4,1200,1.3
4,1300,0.8
4,1400,1.3
4,1500,1.5
4,1600,1.4
4,1700,2
4,1800,1.1
4,1900,1.3
4,2000,0.4
4,2100,1.4
4,2200,2.9
4,2300,2.3
5,0,3.1
5,100,2.9
5,200,3.4
5,300,3.3
5,400,2.9
5,500,4.6
5,600,3.8
5,700,3.8
5,800,3.7
5,900,3.8
5,1000,3.4
5,1100,3.1
5,1200,3
5,1300,2.9
5,1400,2.7
5,1500,1.6
5,1600,2.4
5,1700,2.3
5,1800,2.2
5,1900,2.3
5,2000,1.9
5,2100,1.9
5,2200,1.1
5,2300,1
6,0,1.9
6,100,2
6,200,2.4
6,300,3.2
6,400,2.7
6,500,2.1
6,600,2.2
6,700,3.2
6,800,2.9
6,900,2.1
6,1000,1.4
6,1100,1.6
6,1200,1.1
6,1300,0.4
6,1400,0.2
6,1500,0.5
6,1600,0.4
6,1700,0.1
6,1800,0.8
6,1900,0.2
6,2000,0.6
6,2100,0.3
6,2200,1.3
6,2300,0.7
7,0,1.4
7,100,1.1
7,200,0.8
7,300,1.1
7,400,0.6
7,500,0.5
7,600,1
7,700,1.7
7,800,1.9
7,900,0.9
7,1000,1.4
7,1100,1.8
7,1200,2.2
7,1300,1.7
7,1400,0.9
7,1500,1.2
7,1600,2.1
7,1700,2.8
7,1800,2.2
7,1900,2.3
7,2000,2.4
7,2100,1
7,2200,1.5
7,2300,0.9
8,0,2.4
8,100,2.1
8,200,2.9
8,300,4.5
8,400,3.9
8,500,4
8,600,3.9
8,700,3.3
8,800,2.5
8,900,3
8,1000,4.9
8,1100,2.5
8,1200,2.9
8,1300,3.1
8,1400,4.4
8,1500,3.1
8,1600,2.9
8,1700,3.1
8,1800,2.8
8,1900,3.3
8,2000,2.5
8,2100,2.7
8,2200,2.8
8,2300,2.8
9,0,2.9
9,100,3.7
9,200,3.7
9,300,4
9,400,4.8
9,500,5.5
9,600,6.2
9,700,5.4
9,800,6.4
9,900,5.1
9,1000,4.9
9,1100,4.6
9,1200,4.3
9,1300,4.5
9,1400,3.6
9,1500,3.7
9,1600,3.2
9,1700,2.9
9,1800,2.5
9,1900,2.4
9,2000,2.4
9,2100,1.9
9,2200,2.1
9,2300,2
10,0,3
10,100,4.4
10,200,3.8
10,300,3.9
10,400,4.1
10,500,4.8
10,600,5.2
10,700,5.4
10,800,5.2
10,900,4.6
10,1000,2.8
10,1100,1.8
10,1200,1.1
10,1300,1.3
10,1400,1.2
10,1500,1.4
10,1600,1.1
10,1700,3.3
10,1800,2.7
10,1900,1.5
10,2000,0.8
10,2100,0.4
10,2200,0.7
10,2300,0.4
11,0,0.9
11,100,1.9
11,200,2.7
11,300,3.2
11,400,3.5
11,500,3.7
11,600,4.7
11,700,4.3
11,800,4.5
11,900,3.3
11,1000,1.8
11,1100,1.6
11,1200,1.2
11,1300,0.5
11,1400,1
11,1500,0.9
11,1600,1.4
11,1700,1.6
11,1800,1.5
11,1900,1.5
11,2000,1
11,2100,1.3
11,2200,1.1
11,2300,0.9
12,0,1.7
12,100,2.7
12,200,3.2
12,300,2.3
12,400,2.1
12,500,2.7
12,600,3.4
12,700,3
12,800,2.6
12,900,2.4
12,1000,1.3
12,1100,1.5
12,1200,0.9
12,1300,1.3
12,1400,0.9
12,1500,0.5
12,1600,0.1
12,1700,0.1
12,1800,0.8
12,1900,0.9
12,2000,0.6
12,2100,0.4
12,2200,0.9
12,2300,0.8
13,0,0.8
13,100,0.5
13,200,2
13,300,0.7
13,400,2
13,500,1
13,600,1.2
13,700,1
13,800,1.4
13,900,1.2
13,1000,1.3
13,1100,1.1
13,1200,1.3
13,1300,1.1
13,1400,0.8
13,1500,0.9
13,1600,1.4
13,1700,0.9
13,1800,0.6
13,1900,0.3
13,2000,0.3
13,2100,0.7
13,2200,1
13,2300,0.6
14,0,1.6
14,100,2.7
14,200,2.7
14,300,3.7
14,400,4.4
14,500,3.9
14,600,4
14,700,3.7
14,800,3.9
14,900,3.9
14,1000,1.9
14,1100,1.4
14,1200,1.9
14,1300,1.6
14,1400,1.4
14,1500,1
14,1600,1.3
14,1700,1.3
14,1800,0.8
14,1900,0.6
14,2000,1.1
14,2100,1.2
14,2200,0.7
14,2300,0.9
15,0,0.4
15,100,0.9
15,200,1
15,300,0.8
15,400,1.6
15,500,1.4
15,600,2.7
15,700,2.9
15,800,2.3
15,900,1.7
15,1000,1.7
15,1100,1.1
15,1200,0.9
15,1300,0.5
15,1400,0.8
15,1500,0.5
15,1600,1.2
15,1700,1.7
15,1800,0.9
15,1900,1.1
15,2000,0.4
15,2100,1.4
15,2200,0.4
15,2300,0.2
16,0,0.2
16,100,0.7
16,200,0.5
16,300,1.6
16,400,1.2
16,500,2.4
16,600,2.4
16,700,2.5
16,800,2.9
16,900,2.9
16,1000,2.1
16,1100,0.9
16,1200,0.8
16,1300,0.4
16,1400,0.7
16,1500,1
16,1600,0.8
16,1700,0.8
16,1800,0.9
16,1900,0.5
16,2000,0.6
16,2100,0.4
16,2200,0.3
16,2300,0.1
17,0,0.4
17,100,0.5
17,200,1.5
17,300,1.6
17,400,1.5
17,500,2
17,600,2.2
17,700,2.4
17,800,2.6
17,900,1.3
17,1000,0.4
17,1100,0.7
17,1200,0.8
17,1300,0.1
17,1400,0.2
17,1500,0.6
17,1600,0.4
17,1700,0.7
17,1800,0.5
17,1900,0.3
17,2000,0.5
17,2100,0.4
17,2200,0.7
17,2300,1
18,0,1.5
18,100,1.3
18,200,1.8
18,300,2.2
18,400,1.7
18,500,2.6
18,600,1.8
18,700,1.3
18,800,2.4
18,900,2.3
18,1000,2.2
18,1100,1.4
18,1200,2
18,1300,1.7
18,1400,1.5
18,1500,2.2
18,1600,2
18,1700,1.4
18,1800,1.6
18,1900,1.4
18,2000,1.6
18,2100,1.3
18,2200,1.6
18,2300,1.9
19,0,2
19,100,2.8
19,200,3.1
19,300,2.9
19,400,3.3
19,500,4.2
19,600,4.5
19,700,3.5
19,800,3
19,900,2.8
19,1000,1.8
19,1100,1.4
19,1200,1.5
19,1300,1.6
19,1400,1.4
19,1500,0.8
19,1600,2.1
19,1700,2.1
19,1800,1.9
19,1900,1.6
19,2000,1.3
19,2100,1
19,2200,0.4
19,2300,0.1
20,0,0.7
20,100,1.2
20,200,2.1
20,300,3.3
20,400,3.5
20,500,3.8
20,600,3.4
20,700,3.5
20,800,3.6
20,900,3.7
20,1000,3.1
20,1100,2.7
20,1200,2.7
20,1300,2.1
20,1400,1.4
20,1500,1.1
20,1600,1
20,1700,0.9
20,1800,0.9
20,1900,1.6
20,2000,0.8
20,2100,0.9
20,2200,1
20,2300,2.3
21,0,0.8
21,100,1.4
21,200,0.8
21,300,0.9
21,400,0.8
21,500,0.8
21,600,2.6
21,700,2.6
21,800,1.5
21,900,1.7
21,1000,0.7
21,1100,1.8
21,1200,1.4
21,1300,2.5
21,1400,3
21,1500,1.6
21,1600,2.8
21,1700,2.9
21,1800,1.6
21,1900,0.7
21,2000,0.8
21,2100,1.8
21,2200,2.2
21,2300,1.2
22,0,1.8
22,100,1.8
22,200,1.6
22,300,1.9
22,400,2.7
22,500,2.3
22,600,2.5
22,700,1.8
22,800,1.7
22,900,1.5
22,1000,1.1
22,1100,2.2
22,1200,2
22,1300,1.1
22,1400,2.1
22,1500,1.2
22,1600,1.6
22,1700,0.5
22,1800,0.6
22,1900,0.7
22,2000,0.9
22,2100,0.2
22,2200,0.7
22,2300,0.6
23,0,1.4
23,100,1.9
23,200,2.7
23,300,3.3
23,400,4.3
23,500,4.4
23,600,5.6
23,700,5.2
23,800,5.1
23,900,5.1
23,1000,5
23,1100,5.1
23,1200,5.1
23,1300,4.9
23,1400,3.8
23,1500,2.7
23,1600,1.6
23,1700,1.8
23,1800,1.2
23,1900,1.2
23,2000,1.1
23,2100,0.5
23,2200,1
23,2300,0.9
24,0,1.8
24,100,2
24,200,1.7
24,300,2.2
24,400,3.2
24,500,3.2
24,600,4.9
24,700,4.9
24,800,5.3
24,900,3.4
24,1000,2.4
24,1100,2
24,1200,1.3
24,1300,1.6
24,1400,0.8
24,1500,1.2
24,1600,1.8
24,1700,1.4
24,1800,1.8
24,1900,2
24,2000,2.1
24,2100,0.5
24,2200,0.5
24,2300,1
25,0,1.2
25,100,1.3
25,200,1.8
25,300,0.7
25,400,1.6
25,500,3
25,600,3.3
25,700,3.4
25,800,3.6
25,900,3.8
25,1000,1.3
25,1100,1.9
25,1200,1.4
25,1300,1.2
25,1400,1.6
25,1500,2.1
25,1600,2
25,1700,2.2
25,1800,2.2
25,1900,1.9
25,2000,1.7
25,2100,1.1
25,2200,0.8
25,2300,1
26,0,1.7
26,100,1.2
26,200,0.6
26,300,1.6
26,400,2.3
26,500,2.9
26,600,2.6
26,700,3.5
26,800,3.6
26,900,3
26,1000,1.2
26,1100,1.6
26,1200,1.5
26,1300,1.4
26,1400,1.8
26,1500,2.6
26,1600,2.4
26,1700,2.1
26,1800,2.2
26,1900,1.6
26,2000,1.8
26,2100,2.3
26,2200,2.6
26,2300,2
27,0,1.8
27,100,1.3
27,200,2
27,300,2.6
27,400,3.2
27,500,3.5
27,600,4.3
27,700,4.1
27,800,3.5
27,900,3
27,1000,1.8
27,1100,1.3
27,1200,1.8
27,1300,1.7
27,1400,1.4
27,1500,1.8
27,1600,1.6
27,1700,0.9
27,1800,1.7
27,1900,1.6
27,2000,0.6
27,2100,0.6
27,2200,0.7
27,2300,0.7
28,0,1.5
28,100,1.5
28,200,2.5
28,300,2.7
28,400,3.3
28,500,2.5
28,600,3
28,700,3.1
28,800,3.1
28,900,2.9
28,1000,3.1
28,1100,3.5
28,1200,3.5
28,1300,3.2
28,1400,2.2
28,1500,3.4
28,1600,2.5
28,1700,2.9
28,1800,2.5
28,1900,3.4
28,2000,4
28,2100,4.5
28,2200,4.5
28,2300,5.2
29,0,5.6
29,100,5.6
29,200,5.6
29,300,6
29,400,6.4
29,500,6.2
29,600,7
29,700,6.6
29,800,5.7
29,900,5.5
29,1000,5.2
29,1100,4.7
29,1200,3.6
29,1300,3.4
29,1400,2.6
29,1500,1.9
29,1600,2.4
29,1700,1.1
29,1800,0.8
29,1900,0.4
29,2000,0.6
29,2100,0.3
29,2200,0.7
29,2300,1.3
30,0,1
30,100,1.1
30,200,0.4
30,300,1.2
30,400,2.5
30,500,2.9
30,600,3.1
30,700,3.2
30,800,2.8
30,900,2.4
30,1000,1.6
30,1100,0.9
30,1200,0.7
30,1300,0.6
30,1400,0.3
30,1500,0.3
30,1600,0.3
30,1700,0.2
30,1800,0.4
30,1900,0.4
30,2000,0.4
30,2100,0.5
30,2200,0.4
30,2300,0.6
31,0,0.8
31,100,1
31,200,0.9
31,300,1
31,400,1.1
31,500,1.6
31,600,2.9
31,700,2.5
31,800,2.5
31,900,2.4
31,1000,1.8
31,1100,1.8
31,1200,2
31,1300,0.7
31,1400,0.1
31,1500,0
31,1600,0.3
31,1700,0.2
31,1800,0.4
31,1900,0.1
31,2000,0.4
31,2100,0.8
31,2200,0.8
31,2300,1.1
 ,,
