 format: day,hour,value location:55_112 Start : 20170101 
1,0,90
1,100,86
1,200,80
1,300,71
1,400,67
1,500,64
1,600,63
1,700,65
1,800,69
1,900,76
1,1000,80
1,1100,82
1,1200,85
1,1300,86
1,1400,87
1,1500,87
1,1600,88
1,1700,89
1,1800,89
1,1900,90
1,2000,90
1,2100,91
1,2200,92
1,2300,92
2,0,91
2,100,84
2,200,79
2,300,71
2,400,69
2,500,68
2,600,67
2,700,71
2,800,76
2,900,80
2,1000,81
2,1100,83
2,1200,83
2,1300,85
2,1400,87
2,1500,80
2,1600,89
2,1700,89
2,1800,89
2,1900,90
2,2000,91
2,2100,91
2,2200,91
2,2300,92
3,0,92
3,100,84
3,200,74
3,300,62
3,400,59
3,500,57
3,600,57
3,700,59
3,800,63
3,900,65
3,1000,76
3,1100,78
3,1200,81
3,1300,85
3,1400,84
3,1500,88
3,1600,90
3,1700,90
3,1800,89
3,1900,88
3,2000,89
3,2100,89
3,2200,89
3,2300,89
4,0,89
4,100,84
4,200,79
4,300,69
4,400,60
4,500,49
4,600,44
4,700,37
4,800,48
4,900,53
4,1000,61
4,1100,64
4,1200,64
4,1300,70
4,1400,73
4,1500,74
4,1600,74
4,1700,75
4,1800,77
4,1900,79
4,2000,82
4,2100,85
4,2200,86
4,2300,85
5,0,83
5,100,77
5,200,71
5,300,63
5,400,58
5,500,53
5,600,50
5,700,51
5,800,53
5,900,55
5,1000,63
5,1100,65
5,1200,66
5,1300,65
5,1400,66
5,1500,65
5,1600,68
5,1700,69
5,1800,70
5,1900,71
5,2000,72
5,2100,72
5,2200,72
5,2300,74
6,0,73
6,100,68
6,200,62
6,300,60
6,400,57
6,500,56
6,600,55
6,700,59
6,800,65
6,900,74
6,1000,79
6,1100,83
6,1200,87
6,1300,90
6,1400,91
6,1500,91
6,1600,92
6,1700,92
6,1800,94
6,1900,94
6,2000,94
6,2100,92
6,2200,92
6,2300,91
7,0,90
7,100,85
7,200,77
7,300,68
7,400,63
7,500,64
7,600,63
7,700,64
7,800,70
7,900,65
7,1000,77
7,1100,80
7,1200,83
7,1300,84
7,1400,84
7,1500,84
7,1600,85
7,1700,82
7,1800,82
7,1900,81
7,2000,81
7,2100,82
7,2200,82
7,2300,81
8,0,75
8,100,68
8,200,62
8,300,57
8,400,57
8,500,56
8,600,55
8,700,63
8,800,70
8,900,78
8,1000,80
8,1100,79
8,1200,81
8,1300,81
8,1400,82
8,1500,78
8,1600,77
8,1700,78
8,1800,80
8,1900,80
8,2000,80
8,2100,80
8,2200,80
8,2300,79
9,0,78
9,100,72
9,200,66
9,300,66
9,400,59
9,500,57
9,600,50
9,700,56
9,800,59
9,900,60
9,1000,59
9,1100,63
9,1200,68
9,1300,71
9,1400,70
9,1500,78
9,1600,77
9,1700,76
9,1800,78
9,1900,77
9,2000,76
9,2100,75
9,2200,74
9,2300,72
10,0,68
10,100,63
10,200,60
10,300,59
10,400,52
10,500,73
10,600,73
10,700,65
10,800,62
10,900,45
10,1000,49
10,1100,49
10,1200,53
10,1300,54
10,1400,52
10,1500,53
10,1600,51
10,1700,49
10,1800,54
10,1900,53
10,2000,54
10,2100,60
10,2200,64
10,2300,66
11,0,63
11,100,55
11,200,50
11,300,51
11,400,57
11,500,60
11,600,63
11,700,64
11,800,62
11,900,65
11,1000,68
11,1100,69
11,1200,71
11,1300,72
11,1400,69
11,1500,63
11,1600,62
11,1700,59
11,1800,61
11,1900,63
11,2000,69
11,2100,77
11,2200,82
11,2300,86
12,0,81
12,100,81
12,200,75
12,300,53
12,400,46
12,500,49
12,600,54
12,700,51
12,800,50
12,900,55
12,1000,54
12,1100,55
12,1200,62
12,1300,60
12,1400,58
12,1500,58
12,1600,63
12,1700,63
12,1800,66
12,1900,69
12,2000,70
12,2100,76
12,2200,74
12,2300,68
13,0,65
13,100,65
13,200,67
13,300,61
13,400,57
13,500,57
13,600,57
13,700,57
13,800,55
13,900,53
13,1000,53
13,1100,52
13,1200,55
13,1300,56
13,1400,57
13,1500,58
13,1600,55
13,1700,53
13,1800,50
13,1900,51
13,2000,49
13,2100,49
13,2200,51
13,2300,48
14,0,44
14,100,41
14,200,31
14,300,27
14,400,28
14,500,29
14,600,30
14,700,34
14,800,36
14,900,39
14,1000,40
14,1100,38
14,1200,39
14,1300,37
14,1400,38
14,1500,45
14,1600,48
14,1700,52
14,1800,58
14,1900,60
14,2000,62
14,2100,66
14,2200,66
14,2300,66
15,0,58
15,100,52
15,200,46
15,300,42
15,400,39
15,500,39
15,600,39
15,700,40
15,800,44
15,900,50
15,1000,53
15,1100,57
15,1200,60
15,1300,62
15,1400,62
15,1500,64
15,1600,63
15,1700,64
15,1800,61
15,1900,63
15,2000,64
15,2100,76
15,2200,74
15,2300,72
16,0,66
16,100,53
16,200,42
16,300,35
16,400,32
16,500,32
16,600,32
16,700,38
16,800,45
16,900,54
16,1000,63
16,1100,67
16,1200,73
16,1300,76
16,1400,79
16,1500,80
16,1600,83
16,1700,85
16,1800,87
16,1900,84
16,2000,84
16,2100,80
16,2200,80
16,2300,77
17,0,72
17,100,60
17,200,48
17,300,31
17,400,33
17,500,39
17,600,49
17,700,55
17,800,62
17,900,70
17,1000,73
17,1100,74
17,1200,75
17,1300,72
17,1400,72
17,1500,75
17,1600,76
17,1700,77
17,1800,80
17,1900,87
17,2000,91
17,2100,85
17,2200,90
17,2300,88
18,0,87
18,100,78
18,200,66
18,300,55
18,400,57
18,500,62
18,600,65
18,700,86
18,800,89
18,900,78
18,1000,80
18,1100,83
18,1200,83
18,1300,84
18,1400,86
18,1500,86
18,1600,86
18,1700,86
18,1800,85
18,1900,86
18,2000,86
18,2100,91
18,2200,88
18,2300,86
19,0,84
19,100,79
19,200,74
19,300,60
19,400,53
19,500,41
19,600,45
19,700,39
19,800,55
19,900,71
19,1000,75
19,1100,78
19,1200,76
19,1300,77
19,1400,78
19,1500,80
19,1600,79
19,1700,86
19,1800,88
19,1900,89
19,2000,90
19,2100,86
19,2200,87
19,2300,86
20,0,84
20,100,78
20,200,76
20,300,71
20,400,68
20,500,65
20,600,65
20,700,66
20,800,67
20,900,60
20,1000,64
20,1100,66
20,1200,73
20,1300,74
20,1400,77
20,1500,77
20,1600,76
20,1700,74
20,1800,75
20,1900,76
20,2000,79
20,2100,87
20,2200,87
20,2300,85
21,0,83
21,100,78
21,200,75
21,300,72
21,400,71
21,500,74
21,600,75
21,700,77
21,800,67
21,900,55
21,1000,62
21,1100,70
21,1200,75
21,1300,77
21,1400,77
21,1500,76
21,1600,67
21,1700,59
21,1800,53
21,1900,51
21,2000,52
21,2100,53
21,2200,56
21,2300,57
22,0,55
22,100,54
22,200,57
22,300,56
22,400,54
22,500,54
22,600,53
22,700,54
22,800,52
22,900,55
22,1000,54
22,1100,53
22,1200,53
22,1300,53
22,1400,53
22,1500,52
22,1600,53
22,1700,54
22,1800,55
22,1900,57
22,2000,60
22,2100,55
22,2200,60
22,2300,60
23,0,56
23,100,53
23,200,53
23,300,50
23,400,53
23,500,54
23,600,51
23,700,52
23,800,55
23,900,55
23,1000,64
23,1100,65
23,1200,67
23,1300,67
23,1400,69
23,1500,70
23,1600,71
23,1700,70
23,1800,70
23,1900,72
23,2000,74
23,2100,67
23,2200,69
23,2300,71
24,0,70
24,100,61
24,200,55
24,300,51
24,400,43
24,500,44
24,600,43
24,700,46
24,800,51
24,900,60
24,1000,68
24,1100,70
24,1200,73
24,1300,77
24,1400,81
24,1500,82
24,1600,84
24,1700,87
24,1800,88
24,1900,87
24,2000,87
24,2100,84
24,2200,82
24,2300,80
25,0,77
25,100,70
25,200,55
25,300,44
25,400,41
25,500,41
25,600,45
25,700,54
25,800,62
25,900,67
25,1000,73
25,1100,77
25,1200,80
25,1300,82
25,1400,86
25,1500,92
25,1600,92
25,1700,92
25,1800,89
25,1900,89
25,2000,89
25,2100,93
25,2200,89
25,2300,86
26,0,81
26,100,74
26,200,65
26,300,60
26,400,62
26,500,63
26,600,64
26,700,67
26,800,71
26,900,80
26,1000,82
26,1100,82
26,1200,80
26,1300,81
26,1400,80
26,1500,79
26,1600,87
26,1700,94
26,1800,93
26,1900,82
26,2000,66
26,2100,62
26,2200,59
26,2300,57
27,0,64
27,100,54
27,200,47
27,300,39
27,400,38
27,500,39
27,600,35
27,700,40
27,800,45
27,900,51
27,1000,57
27,1100,61
27,1200,66
27,1300,70
27,1400,76
27,1500,77
27,1600,82
27,1700,82
27,1800,80
27,1900,80
27,2000,80
27,2100,80
27,2200,77
27,2300,74
28,0,67
28,100,54
28,200,42
28,300,33
28,400,27
28,500,23
28,600,20
28,700,27
28,800,39
28,900,50
28,1000,59
28,1100,64
28,1200,66
28,1300,65
28,1400,63
28,1500,61
28,1600,60
28,1700,59
28,1800,57
28,1900,58
28,2000,65
28,2100,81
28,2200,87
28,2300,91
29,0,94
29,100,94
29,200,94
29,300,98
29,400,97
29,500,97
29,600,94
29,700,95
29,800,96
29,900,95
29,1000,95
29,1100,94
29,1200,93
29,1300,92
29,1400,91
29,1500,87
29,1600,88
29,1700,89
29,1800,86
29,1900,81
29,2000,77
29,2100,74
29,2200,74
29,2300,74
30,0,75
30,100,69
30,200,65
30,300,61
30,400,52
30,500,53
30,600,46
30,700,47
30,800,48
30,900,50
30,1000,54
30,1100,59
30,1200,64
30,1300,69
30,1400,72
30,1500,77
30,1600,78
30,1700,79
30,1800,80
30,1900,82
30,2000,84
30,2100,84
30,2200,81
30,2300,78
31,0,72
31,100,59
31,200,51
31,300,40
31,400,38
31,500,35
31,600,35
31,700,45
31,800,45
31,900,53
31,1000,57
31,1100,61
31,1200,66
31,1300,66
31,1400,70
31,1500,70
31,1600,72
31,1700,74
31,1800,73
31,1900,69
31,2000,67
31,2100,73
31,2200,71
31,2300,72
 Start : 20170201 ,,
1,0,64
1,100,53
1,200,41
1,300,36
1,400,36
1,500,36
1,600,36
1,700,39
1,800,41
1,900,40
1,1000,47
1,1100,53
1,1200,58
1,1300,60
1,1400,61
1,1500,60
1,1600,62
1,1700,64
1,1800,65
1,1900,67
1,2000,68
1,2100,70
1,2200,72
1,2300,74
2,0,65
2,100,55
2,200,51
2,300,46
2,400,47
2,500,51
2,600,55
2,700,60
2,800,66
2,900,70
2,1000,77
2,1100,80
2,1200,84
2,1300,86
2,1400,87
2,1500,88
2,1600,89
2,1700,90
2,1800,92
2,1900,92
2,2000,92
2,2100,93
2,2200,92
2,2300,91
3,0,87
3,100,75
3,200,66
3,300,58
3,400,56
3,500,53
3,600,57
3,700,60
3,800,67
3,900,70
3,1000,78
3,1100,83
3,1200,88
3,1300,92
3,1400,94
3,1500,97
3,1600,97
3,1700,98
3,1800,98
3,1900,99
3,2000,99
3,2100,93
3,2200,92
3,2300,91
4,0,90
4,100,83
4,200,72
4,300,58
4,400,55
4,500,53
4,600,45
4,700,54
4,800,58
4,900,66
4,1000,71
4,1100,73
4,1200,76
4,1300,76
4,1400,75
4,1500,73
4,1600,74
4,1700,76
4,1800,79
4,1900,80
4,2000,81
4,2100,85
4,2200,86
4,2300,88
5,0,86
5,100,84
5,200,86
5,300,93
5,400,94
5,500,94
5,600,93
5,700,91
5,800,86
5,900,79
5,1000,76
5,1100,72
5,1200,67
5,1300,63
5,1400,63
5,1500,66
5,1600,65
5,1700,66
5,1800,62
5,1900,64
5,2000,66
5,2100,65
5,2200,68
5,2300,66
6,0,64
6,100,59
6,200,56
6,300,54
6,400,53
6,500,52
6,600,45
6,700,47
6,800,49
6,900,57
6,1000,62
6,1100,65
6,1200,67
6,1300,67
6,1400,66
6,1500,65
6,1600,67
6,1700,72
6,1800,76
6,1900,75
6,2000,79
6,2100,76
6,2200,75
6,2300,75
7,0,72
7,100,65
