 format: day,hour,value location:55_112 Start : 20170101 
1,0,1.6
1,100,3.4
1,200,4.8
1,300,6.5
1,400,8
1,500,9.1
1,600,9
1,700,8.5
1,800,7.7
1,900,5.5
1,1000,4.4
1,1100,4.2
1,1200,3.6
1,1300,3.6
1,1400,4
1,1500,4.2
1,1600,3
1,1700,2.6
1,1800,3.5
1,1900,3.8
1,2000,3.9
1,2100,4
1,2200,3.9
1,2300,3.9
2,0,5
2,100,6.5
2,200,8.1
2,300,9.5
2,400,9.4
2,500,9.5
2,600,9.8
2,700,8.5
2,800,7.2
2,900,6.4
2,1000,6.3
2,1100,5.9
2,1200,4.7
2,1300,4.2
2,1400,3.5
2,1500,1
2,1600,2.1
2,1700,1.4
2,1800,0.4
2,1900,0
2,2000,-0.4
2,2100,-1.2
2,2200,-1.9
2,2300,-1.7
3,0,-0.6
3,100,2
3,200,4.4
3,300,6.1
3,400,7.6
3,500,8.3
3,600,8.2
3,700,6.9
3,800,5.7
3,900,3.2
3,1000,2.2
3,1100,2
3,1200,1.4
3,1300,0.6
3,1400,0.6
3,1500,0.4
3,1600,1.6
3,1700,2.3
3,1800,3
3,1900,3.5
3,2000,3.1
3,2100,2.7
3,2200,2
3,2300,1.4
4,0,1.8
4,100,4.2
4,200,5.8
4,300,7.4
4,400,8.3
4,500,9
4,600,8.3
4,700,7.6
4,800,6
4,900,4.5
4,1000,2.8
4,1100,2.4
4,1200,2.6
4,1300,1.1
4,1400,0.5
4,1500,0.3
4,1600,0.1
4,1700,-0.1
4,1800,-0.4
4,1900,-0.6
4,2000,-0.6
4,2100,-0.7
4,2200,-0.6
4,2300,-0.2
5,0,0.4
5,100,2
5,200,3.3
5,300,4.6
5,400,6
5,500,6.9
5,600,7.4
5,700,7.4
5,800,7.1
5,900,6
5,1000,7
5,1100,6.7
5,1200,6.6
5,1300,6.4
5,1400,5.9
5,1500,5.3
5,1600,5
5,1700,5.1
5,1800,5.5
5,1900,4.9
5,2000,4.2
5,2100,3.6
5,2200,3.3
5,2300,3.6
6,0,4.5
6,100,5.5
6,200,7.3
6,300,8.3
6,400,9.6
6,500,10.3
6,600,11
6,700,9.7
6,800,8.1
6,900,5.2
6,1000,4
6,1100,2.8
6,1200,1.3
6,1300,1
6,1400,0.9
6,1500,0
6,1600,-0.4
6,1700,-0.6
6,1800,-0.4
6,1900,-1
6,2000,-1.7
6,2100,-2.2
6,2200,-2.2
6,2300,-2.1
7,0,-0.2
7,100,2
7,200,4.5
7,300,6.6
7,400,8.4
7,500,9.3
7,600,9
7,700,9.1
7,800,6.9
7,900,6
7,1000,5.1
7,1100,4.3
7,1200,2.9
7,1300,2.1
7,1400,2.8
7,1500,2.3
7,1600,2.6
7,1700,3.4
7,1800,4.2
7,1900,4.1
7,2000,4.3
7,2100,3.1
7,2200,3.1
7,2300,3.7
8,0,4.9
8,100,6.2
8,200,8.1
8,300,9
8,400,9.9
8,500,10.4
8,600,11
8,700,9
8,800,7.6
8,900,6.1
8,1000,5.9
8,1100,6.1
8,1200,5.8
8,1300,5.5
8,1400,5.2
8,1500,4.8
8,1600,5
8,1700,4.5
8,1800,4.4
8,1900,4.3
8,2000,4.3
8,2100,5
8,2200,4.5
8,2300,3.8
9,0,3.3
9,100,3.3
9,200,4.1
9,300,4.4
9,400,5.2
9,500,4.9
9,600,6
9,700,4.4
9,800,2.9
9,900,2.1
9,1000,0.6
9,1100,-0.3
9,1200,-0.7
9,1300,-1.6
9,1400,-1.6
9,1500,-1.9
9,1600,-2.8
9,1700,-2.5
9,1800,-3
9,1900,-2.4
9,2000,-1.8
9,2100,-1.9
9,2200,-2.7
9,2300,-2.8
10,0,-1.2
10,100,0.4
10,200,1.4
10,300,0.9
10,400,2.7
10,500,0.7
10,600,1.2
10,700,0.8
10,800,0.1
10,900,-1.9
10,1000,-1.5
10,1100,-1.8
10,1200,-2.1
10,1300,-2.8
10,1400,-3.5
10,1500,-3.8
10,1600,-4.2
10,1700,-4.2
10,1800,-4.1
10,1900,-4.7
10,2000,-5.7
10,2100,-4.9
10,2200,-7
