 format: day,hour,value location:55_113 Start : 20160301 
1,0,63
1,100,57
1,200,53
1,300,50
1,400,48
1,500,50
1,600,50
1,700,54
1,800,58
1,900,63
1,1000,68
1,1100,73
1,1200,78
1,1300,79
1,1400,79
1,1500,80
1,1600,80
1,1700,82
1,1800,82
1,1900,82
1,2000,82
1,2100,88
1,2200,87
1,2300,86
2,0,81
2,100,74
2,200,69
2,300,65
2,400,63
2,500,62
2,600,60
2,700,62
2,800,65
2,900,69
2,1000,76
2,1100,80
2,1200,83
2,1300,85
2,1400,85
2,1500,85
2,1600,87
2,1700,88
2,1800,88
2,1900,88
2,2000,89
2,2100,89
2,2200,87
2,2300,84
3,0,80
3,100,74
3,200,68
3,300,62
3,400,60
3,500,58
3,600,58
3,700,60
3,800,64
3,900,69
3,1000,74
3,1100,77
3,1200,78
3,1300,80
3,1400,80
3,1500,79
3,1600,81
3,1700,81
3,1800,82
3,1900,83
3,2000,81
3,2100,81
3,2200,80
3,2300,79
4,0,74
4,100,67
4,200,62
4,300,61
4,400,62
4,500,62
4,600,64
4,700,68
4,800,72
4,900,77
4,1000,82
4,1100,84
4,1200,86
4,1300,88
4,1400,90
4,1500,91
4,1600,90
4,1700,89
4,1800,88
4,1900,86
4,2000,85
4,2100,84
4,2200,84
4,2300,83
5,0,80
5,100,79
5,200,79
5,300,79
5,400,80
5,500,79
5,600,87
5,700,87
5,800,89
5,900,90
5,1000,92
5,1100,93
5,1200,95
5,1300,95
5,1400,96
5,1500,94
5,1600,93
5,1700,92
5,1800,91
5,1900,91
5,2000,91
5,2100,90
5,2200,89
5,2300,88
6,0,87
6,100,75
6,200,68
6,300,56
6,400,54
6,500,49
6,600,44
6,700,46
6,800,51
6,900,54
6,1000,62
6,1100,64
6,1200,68
6,1300,71
6,1400,73
6,1500,77
6,1600,79
6,1700,80
6,1800,82
6,1900,83
6,2000,81
6,2100,68
6,2200,71
6,2300,68
7,0,63
7,100,55
7,200,52
7,300,51
7,400,51
7,500,50
7,600,45
7,700,47
7,800,52
7,900,56
7,1000,61
7,1100,64
7,1200,68
7,1300,67
7,1400,70
7,1500,70
7,1600,68
7,1700,71
7,1800,72
7,1900,70
7,2000,67
7,2100,73
7,2200,68
7,2300,67
8,0,63
8,100,58
8,200,56
8,300,52
8,400,52
8,500,48
8,600,48
8,700,46
8,800,47
8,900,45
8,1000,43
8,1100,48
8,1200,51
8,1300,54
8,1400,54
8,1500,59
8,1600,59
8,1700,57
8,1800,56
8,1900,56
8,2000,56
8,2100,56
8,2200,53
8,2300,49
9,0,46
9,100,43
9,200,41
9,300,39
9,400,38
9,500,37
9,600,38
9,700,39
9,800,41
9,900,42
9,1000,45
9,1100,49
9,1200,52
9,1300,50
9,1400,52
9,1500,51
9,1600,47
9,1700,45
9,1800,42
9,1900,47
9,2000,50
9,2100,48
9,2200,47
9,2300,46
10,0,41
10,100,39
10,200,36
10,300,35
10,400,35
