,Unnamed: 0,MEA_DDHR,PLANT,LOC,X24H_TMA,X48H_TMA,X24H_COND_LOC_PROB,X48H_COND_LOC_PROB,X24H_COND_LOC,X48H_COND_LOC
0,0,2019-04-01 0:00,2,3,2019-04-02 00:00:00,2019-04-03 00:00:00,0.0,0.0,0,0
1,1,2019-04-01 4:30,1,2,2019-04-02 04:30:00,2019-04-03 04:30:00,0.0,0.0,0,0
2,2,2019-04-01 10:30,2,3,2019-04-02 10:30:00,2019-04-03 10:30:00,0.0,0.0,0,0
3,3,2019-04-01 11:00,1,1,2019-04-02 11:00:00,2019-04-03 11:00:00,0.0,0.03,0,0
4,4,2019-04-01 13:30,2,1,2019-04-02 13:30:00,2019-04-03 13:30:00,0.0,0.0,0,0
5,5,2019-04-01 17:00,2,2,2019-04-02 17:00:00,2019-04-03 17:00:00,0.0,0.0,0,0
6,6,2019-04-01 18:30,2,3,2019-04-02 18:30:00,2019-04-03 18:30:00,0.0,0.0,0,0
7,7,2019-04-01 20:30,2,1,2019-04-02 20:30:00,2019-04-03 20:30:00,0.0,0.0,0,0
8,8,2019-04-02 6:00,1,2,2019-04-03 06:00:00,2019-04-04 06:00:00,0.0,0.0,0,0
9,9,2019-04-02 7:00,1,1,2019-04-03 07:00:00,2019-04-04 07:00:00,0.01,0.0,0,0
10,10,2019-04-02 9:30,1,1,2019-04-03 09:30:00,2019-04-04 09:30:00,0.0,0.01,0,0
11,11,2019-04-02 12:30,1,2,2019-04-03 12:30:00,2019-04-04 12:30:00,0.0,0.0,0,0
12,12,2019-04-02 15:00,1,1,2019-04-03 15:00:00,2019-04-04 15:00:00,0.01,0.0,0,0
13,13,2019-04-02 16:00,2,2,2019-04-03 16:00:00,2019-04-04 16:00:00,0.0,0.0,0,0
14,14,2019-04-02 16:30,1,1,2019-04-03 16:30:00,2019-04-04 16:30:00,0.01,0.0,0,0
15,15,2019-04-02 17:00,2,2,2019-04-03 17:00:00,2019-04-04 17:00:00,0.0,0.0,0,0
16,16,2019-04-02 19:30,1,1,2019-04-03 19:30:00,2019-04-04 19:30:00,0.0,0.0,0,0
17,17,2019-04-03 0:30,1,2,2019-04-04 00:30:00,2019-04-05 00:30:00,0.0,0.01,0,0
18,18,2019-04-03 1:00,1,1,2019-04-04 01:00:00,2019-04-05 01:00:00,0.0,0.01,0,0
19,19,2019-04-03 3:00,2,3,2019-04-04 03:00:00,2019-04-05 03:00:00,0.0,0.0,0,0
20,20,2019-04-03 4:30,1,1,2019-04-04 04:30:00,2019-04-05 04:30:00,0.01,0.02,0,0
21,21,2019-04-03 7:00,2,1,2019-04-04 07:00:00,2019-04-05 07:00:00,0.0,0.01,0,0
22,22,2019-04-03 8:30,2,1,2019-04-04 08:30:00,2019-04-05 08:30:00,0.0,0.01,0,0
23,23,2019-04-03 9:00,1,1,2019-04-04 09:00:00,2019-04-05 09:00:00,0.03,0.03,0,0
24,24,2019-04-03 10:00,2,1,2019-04-04 10:00:00,2019-04-05 10:00:00,0.0,0.0,0,0
25,25,2019-04-03 11:00,2,2,2019-04-04 11:00:00,2019-04-05 11:00:00,0.0,0.01,0,0
26,26,2019-04-03 11:30,1,2,2019-04-04 11:30:00,2019-04-05 11:30:00,0.01,0.0,0,0
27,27,2019-04-03 12:30,1,3,2019-04-04 12:30:00,2019-04-05 12:30:00,0.05,0.0,0,0
28,28,2019-04-03 17:00,2,2,2019-04-04 17:00:00,2019-04-05 17:00:00,0.0,0.0,0,0
29,29,2019-04-03 19:00,2,2,2019-04-04 19:00:00,2019-04-05 19:00:00,0.0,0.0,0,0
