MEA_DDHR,PLANT,LOC,X24H_TMA,X24H_COND_LOC,X24H_COND_LOC_PROB,X48H_TMA,X48H_COND_LOC,X48H_COND_LOC_PROB
2019-04-01 0:00,2,3,2019-04-02 0:00,0,0.259970388,2019-04-03 0:00,0,0.259970388
2019-04-01 4:30,1,2,2019-04-02 4:30,0,0.268690856,2019-04-03 4:30,0,0.268690856
2019-04-01 10:30,2,3,2019-04-02 10:30,0,0.261419347,2019-04-03 10:30,0,0.261419347
2019-04-01 11:00,1,1,2019-04-02 11:00,0,0.275820703,2019-04-03 11:00,0,0.25126147
2019-04-01 13:30,2,1,2019-04-02 13:30,0,0.280390514,2019-04-03 13:30,0,0.279595251
2019-04-01 17:00,2,2,2019-04-02 17:00,0,0.273009439,2019-04-03 17:00,0,0.265586377
2019-04-01 18:30,2,3,2019-04-02 18:30,0,0.257931908,2019-04-03 18:30,0,0.255411057
2019-04-01 20:30,2,1,2019-04-02 20:30,0,0.275428397,2019-04-03 20:30,0,0.275428397
2019-04-02 6:00,1,2,2019-04-03 6:00,0,0.259788596,2019-04-04 6:00,0,0.43052281
2019-04-02 7:00,1,1,2019-04-03 7:00,0,0.271688887,2019-04-04 7:00,1,0.452572879
2019-04-02 9:30,1,1,2019-04-03 9:30,0,0.268663178,2019-04-04 9:30,0,0.264979474
2019-04-02 12:30,1,2,2019-04-03 12:30,0,0.277074482,2019-04-04 12:30,0,0.272466172
2019-04-02 15:00,1,1,2019-04-03 15:00,0,0.282009498,2019-04-04 15:00,0,0.26918257
2019-04-02 16:00,2,2,2019-04-03 16:00,0,0.265586377,2019-04-04 16:00,0,0.248316293
2019-04-02 16:30,1,1,2019-04-03 16:30,0,0.275958451,2019-04-04 16:30,0,0.255322557
2019-04-02 17:00,2,2,2019-04-03 17:00,0,0.265586377,2019-04-04 17:00,0,0.261929751
2019-04-02 19:30,1,1,2019-04-03 19:30,0,0.268798678,2019-04-04 19:30,0,0.26501684
2019-04-03 0:30,1,2,2019-04-04 0:30,0,0.262347502,2019-04-05 0:30,0,0.258719759
2019-04-03 1:00,1,1,2019-04-04 1:00,0,0.276249796,2019-04-05 1:00,0,0.25224045
2019-04-03 3:00,2,3,2019-04-04 3:00,0,0.43774171,2019-04-05 3:00,0,0.391428612
2019-04-03 4:30,1,1,2019-04-04 4:30,0,0.273605585,2019-04-05 4:30,0,0.406630395
2019-04-03 7:00,2,1,2019-04-04 7:00,1,0.466344253,2019-04-05 7:00,0,0.434768257
2019-04-03 8:30,2,1,2019-04-04 8:30,0,0.262587002,2019-04-05 8:30,0,0.24669435
