,MEA_DDHR,PLANT,LOC,X24H_TMA,X24H_COND_LOC,X24H_COND_LOC_PROB,X48H_TMA,X48H_COND_LOC,X48H_COND_LOC_PROB
0,2019-04-01 0:00,2,3,2019-04-02 0:00,0,0.0,2019-04-03 0:00,0,0.0
1,2019-04-01 4:30,1,2,2019-04-02 4:30,0,0.0,2019-04-03 4:30,0,0.0
2,2019-04-01 10:30,2,3,2019-04-02 10:30,0,0.0,2019-04-03 10:30,0,0.2
3,2019-04-01 11:00,1,1,2019-04-02 11:00,0,0.0,2019-04-03 11:00,0,0.1
4,2019-04-01 13:30,2,1,2019-04-02 13:30,0,0.2,2019-04-03 13:30,0,0.0
5,2019-04-01 17:00,2,2,2019-04-02 17:00,0,0.1,2019-04-03 17:00,0,0.2
6,2019-04-01 18:30,2,3,2019-04-02 18:30,0,0.2,2019-04-03 18:30,0,0.0
7,2019-04-01 20:30,2,1,2019-04-02 20:30,0,0.0,2019-04-03 20:30,0,0.0
8,2019-04-02 6:00,1,2,2019-04-03 6:00,0,0.0,2019-04-04 6:00,0,0.0
9,2019-04-02 7:00,1,1,2019-04-03 7:00,0,0.0,2019-04-04 7:00,0,0.1
10,2019-04-02 9:30,1,1,2019-04-03 9:30,0,0.0,2019-04-04 9:30,0,0.8
11,2019-04-02 12:30,1,2,2019-04-03 12:30,0,0.2,2019-04-04 12:30,0,0.8
12,2019-04-02 15:00,1,1,2019-04-03 15:00,0,0.1,2019-04-04 15:00,0,1.3
13,2019-04-02 16:00,2,2,2019-04-03 16:00,0,0.0,2019-04-04 16:00,0,0.8
14,2019-04-02 16:30,1,1,2019-04-03 16:30,0,0.2,2019-04-04 16:30,0,0.4
15,2019-04-02 17:00,2,2,2019-04-03 17:00,0,0.2,2019-04-04 17:00,0,0.6
16,2019-04-02 19:30,1,1,2019-04-03 19:30,0,0.0,2019-04-04 19:30,0,0.7000000000000001
17,2019-04-03 0:30,1,2,2019-04-04 0:30,0,0.0,2019-04-05 0:30,0,0.5
18,2019-04-03 1:00,1,1,2019-04-04 1:00,0,0.0,2019-04-05 1:00,0,0.2
19,2019-04-03 3:00,2,3,2019-04-04 3:00,0,0.0,2019-04-05 3:00,0,0.3
20,2019-04-03 4:30,1,1,2019-04-04 4:30,0,0.1,2019-04-05 4:30,0,0.5
21,2019-04-03 7:00,2,1,2019-04-04 7:00,0,0.0,2019-04-05 7:00,0,0.2
22,2019-04-03 8:30,2,1,2019-04-04 8:30,0,0.4,2019-04-05 8:30,0,0.1
23,2019-04-03 9:00,1,1,2019-04-04 9:00,0,0.8,2019-04-05 9:00,0,0.1
24,2019-04-03 10:00,2,1,2019-04-04 10:00,0,0.8,2019-04-05 10:00,0,0.3
25,2019-04-03 11:00,2,2,2019-04-04 11:00,0,0.1,2019-04-05 11:00,0,0.0
26,2019-04-03 11:30,1,2,2019-04-04 11:30,0,0.4,2019-04-05 11:30,0,0.3
27,2019-04-03 12:30,1,3,2019-04-04 12:30,0,0.8,2019-04-05 12:30,0,0.1
28,2019-04-03 17:00,2,2,2019-04-04 17:00,0,0.6,2019-04-05 17:00,0,0.0
29,2019-04-03 19:00,2,2,2019-04-04 19:00,0,0.5,2019-04-05 19:00,0,0.0
30,2019-04-03 19:30,2,1,2019-04-04 19:30,0,0.5,2019-04-05 19:30,0,0.1
31,2019-04-04 0:30,1,2,2019-04-05 0:30,0,0.5,2019-04-06 0:30,0,0.0
32,2019-04-04 4:30,2,1,2019-04-05 4:30,0,0.1,2019-04-06 4:30,0,0.0
33,2019-04-04 5:00,2,2,2019-04-05 5:00,0,0.8999999999999999,2019-04-06 5:00,0,0.0
34,2019-04-04 6:00,1,1,2019-04-05 6:00,0,0.6,2019-04-06 6:00,0,0.1
35,2019-04-04 14:30,2,3,2019-04-05 14:30,0,0.1,2019-04-06 14:30,0,0.1
36,2019-04-04 18:00,2,3,2019-04-05 18:00,0,0.1,2019-04-06 18:00,0,0.4
37,2019-04-04 22:00,1,1,2019-04-05 22:00,0,0.0,2019-04-06 22:00,0,0.1
38,2019-04-04 23:00,1,1,2019-04-05 23:00,0,0.1,2019-04-06 23:00,0,0.2
39,2019-04-05 0:00,2,1,2019-04-06 0:00,0,0.0,2019-04-07 0:00,0,0.0
40,2019-04-05 0:30,1,1,2019-04-06 0:30,0,0.0,2019-04-07 0:30,0,0.0
41,2019-04-05 1:30,2,2,2019-04-06 1:30,0,0.0,2019-04-07 1:30,0,0.2
42,2019-04-05 2:00,1,2,2019-04-06 2:00,0,0.0,2019-04-07 2:00,0,0.0
43,2019-04-05 2:30,1,3,2019-04-06 2:30,0,0.2,2019-04-07 2:30,0,0.1
44,2019-04-05 4:30,2,1,2019-04-06 4:30,0,0.0,2019-04-07 4:30,0,0.0
45,2019-04-05 6:30,2,2,2019-04-06 6:30,0,0.0,2019-04-07 6:30,0,0.3
46,2019-04-05 8:00,1,3,2019-04-06 8:00,0,0.1,2019-04-07 8:00,0,0.3
47,2019-04-05 13:00,2,3,2019-04-06 13:00,0,0.3,2019-04-07 13:00,0,0.0
48,2019-04-05 15:30,1,3,2019-04-06 15:30,0,0.3,2019-04-07 15:30,0,0.3
49,2019-04-05 18:00,1,1,2019-04-06 18:00,0,0.2,2019-04-07 18:00,0,0.1
50,2019-04-05 18:00,2,3,2019-04-06 18:00,0,0.4,2019-04-07 18:00,0,0.0
51,2019-04-05 21:30,1,2,2019-04-06 21:30,0,0.1,2019-04-07 21:30,0,0.0
52,2019-04-06 0:30,1,1,2019-04-07 0:30,0,0.0,2019-04-08 0:30,0,0.0
53,2019-04-06 2:00,2,3,2019-04-07 2:00,0,0.0,2019-04-08 2:00,0,0.1
54,2019-04-06 2:00,1,2,2019-04-07 2:00,0,0.0,2019-04-08 2:00,0,0.0
55,2019-04-06 6:30,1,3,2019-04-07 6:30,0,0.1,2019-04-08 6:30,0,0.1
56,2019-04-06 12:00,2,3,2019-04-07 12:00,0,0.0,2019-04-08 12:00,0,0.5
57,2019-04-06 17:00,1,1,2019-04-07 17:00,0,0.0,2019-04-08 17:00,0,0.2
58,2019-04-06 18:00,1,3,2019-04-07 18:00,0,0.1,2019-04-08 18:00,0,0.4
59,2019-04-06 21:00,2,1,2019-04-07 21:00,0,0.0,2019-04-08 21:00,0,0.3
60,2019-04-06 22:30,1,3,2019-04-07 22:30,0,0.1,2019-04-08 22:30,0,0.1
61,2019-04-07 0:30,2,2,2019-04-08 0:30,0,0.0,2019-04-09 0:30,0,0.0
62,2019-04-07 2:30,2,2,2019-04-08 2:30,0,0.0,2019-04-09 2:30,0,0.0
63,2019-04-07 3:00,1,3,2019-04-08 3:00,0,0.2,2019-04-09 3:00,0,0.3
64,2019-04-07 3:00,2,1,2019-04-08 3:00,0,0.0,2019-04-09 3:00,0,0.1
65,2019-04-07 7:30,2,1,2019-04-08 7:30,0,0.3,2019-04-09 7:30,0,0.5
66,2019-04-07 12:00,1,1,2019-04-08 12:00,0,0.1,2019-04-09 12:00,0,1.0999999999999999
67,2019-04-07 13:30,2,2,2019-04-08 13:30,0,0.0,2019-04-09 13:30,0,1.7999999999999998
68,2019-04-07 13:30,2,3,2019-04-08 13:30,0,0.5,2019-04-09 13:30,0,1.3
69,2019-04-07 17:30,2,3,2019-04-08 17:30,0,0.2,2019-04-09 17:30,0,0.1
70,2019-04-08 1:30,1,1,2019-04-09 1:30,0,0.1,2019-04-10 1:30,1,8.1
71,2019-04-08 2:00,2,3,2019-04-09 2:00,0,0.3,2019-04-10 2:00,0,4.1000000000000005
72,2019-04-08 2:00,1,3,2019-04-09 2:00,0,0.2,2019-04-10 2:00,1,19.1
73,2019-04-08 5:30,1,3,2019-04-09 5:30,0,0.3,2019-04-10 5:30,1,16.900000000000002
74,2019-04-08 8:00,2,1,2019-04-09 8:00,0,0.8,2019-04-10 8:00,0,3.1
75,2019-04-08 11:00,2,3,2019-04-09 11:00,0,1.3,2019-04-10 11:00,0,1.7999999999999998
76,2019-04-08 12:00,2,2,2019-04-09 12:00,0,1.4000000000000001,2019-04-10 12:00,0,4.9
77,2019-04-08 13:30,2,2,2019-04-09 13:30,0,1.7999999999999998,2019-04-10 13:30,0,5.2
78,2019-04-08 17:30,2,3,2019-04-09 17:30,0,0.1,2019-04-10 17:30,0,2.5
79,2019-04-08 20:30,2,3,2019-04-09 20:30,0,6.0,2019-04-10 20:30,0,1.6
80,2019-04-08 23:00,2,1,2019-04-09 23:00,0,6.0,2019-04-10 23:00,0,3.6999999999999997
81,2019-04-08 23:30,1,2,2019-04-09 23:30,1,8.0,2019-04-10 23:30,0,6.5
82,2019-04-09 1:00,2,3,2019-04-10 1:00,0,4.3999999999999995,2019-04-11 1:00,0,0.0
83,2019-04-09 2:00,2,1,2019-04-10 2:00,1,8.4,2019-04-11 2:00,0,0.0
84,2019-04-09 2:30,1,1,2019-04-10 2:30,0,7.9,2019-04-11 2:30,0,0.0
85,2019-04-09 3:30,2,2,2019-04-10 3:30,1,9.700000000000001,2019-04-11 3:30,0,0.0
86,2019-04-09 4:30,2,3,2019-04-10 4:30,0,4.5,2019-04-11 4:30,0,0.0
87,2019-04-09 5:30,1,3,2019-04-10 5:30,1,16.900000000000002,2019-04-11 5:30,0,0.0
88,2019-04-09 8:30,2,2,2019-04-10 8:30,0,5.1,2019-04-11 8:30,0,0.0
89,2019-04-09 9:00,1,1,2019-04-10 9:00,0,4.2,2019-04-11 9:00,0,0.1
90,2019-04-09 9:30,1,1,2019-04-10 9:30,0,3.8,2019-04-11 9:30,0,0.7000000000000001
91,2019-04-09 21:00,1,2,2019-04-10 21:00,0,6.1,2019-04-11 21:00,0,0.1
92,2019-04-10 1:00,2,2,2019-04-11 1:00,0,0.0,2019-04-12 1:00,0,0.0
93,2019-04-10 1:30,1,3,2019-04-11 1:30,0,0.1,2019-04-12 1:30,0,0.0
94,2019-04-10 2:00,2,2,2019-04-11 2:00,0,0.0,2019-04-12 2:00,0,0.0
95,2019-04-10 4:30,1,1,2019-04-11 4:30,0,0.0,2019-04-12 4:30,0,0.0
96,2019-04-10 6:30,2,3,2019-04-11 6:30,0,0.0,2019-04-12 6:30,0,0.0
97,2019-04-10 7:30,1,2,2019-04-11 7:30,0,0.1,2019-04-12 7:30,0,0.0
98,2019-04-10 10:00,1,1,2019-04-11 10:00,0,0.6,2019-04-12 10:00,0,0.1
99,2019-04-10 13:00,1,3,2019-04-11 13:00,0,1.4000000000000001,2019-04-12 13:00,0,0.0
100,2019-04-10 13:00,2,1,2019-04-11 13:00,0,0.6,2019-04-12 13:00,0,0.0
101,2019-04-10 13:00,2,3,2019-04-11 13:00,0,0.4,2019-04-12 13:00,0,0.1
102,2019-04-10 16:30,1,1,2019-04-11 16:30,0,0.4,2019-04-12 16:30,0,0.0
103,2019-04-10 18:00,1,3,2019-04-11 18:00,0,0.2,2019-04-12 18:00,0,0.1
104,2019-04-10 18:00,2,3,2019-04-11 18:00,0,0.2,2019-04-12 18:00,0,0.1
105,2019-04-10 18:30,2,2,2019-04-11 18:30,0,0.1,2019-04-12 18:30,0,0.1
106,2019-04-10 20:30,2,2,2019-04-11 20:30,0,0.0,2019-04-12 20:30,0,0.0
107,2019-04-11 2:30,1,3,2019-04-12 2:30,0,0.0,2019-04-13 2:30,0,0.0
108,2019-04-11 3:00,2,2,2019-04-12 3:00,0,0.0,2019-04-13 3:00,0,0.0
109,2019-04-11 8:30,2,3,2019-04-12 8:30,0,0.0,2019-04-13 8:30,0,0.3
110,2019-04-11 9:30,2,2,2019-04-12 9:30,0,0.0,2019-04-13 9:30,0,0.3
111,2019-04-11 11:00,1,3,2019-04-12 11:00,0,0.0,2019-04-13 11:00,0,0.2
112,2019-04-11 11:30,2,2,2019-04-12 11:30,0,0.0,2019-04-13 11:30,0,0.1
113,2019-04-11 14:30,1,2,2019-04-12 14:30,0,0.0,2019-04-13 14:30,0,0.0
114,2019-04-11 15:30,2,1,2019-04-12 15:30,0,0.0,2019-04-13 15:30,0,0.0
115,2019-04-11 20:30,1,3,2019-04-12 20:30,0,0.0,2019-04-13 20:30,0,0.0
116,2019-04-11 20:30,2,2,2019-04-12 20:30,0,0.0,2019-04-13 20:30,0,0.2
117,2019-04-12 3:00,2,1,2019-04-13 3:00,0,0.0,2019-04-14 3:00,0,0.3
118,2019-04-12 7:00,1,2,2019-04-13 7:00,0,0.1,2019-04-14 7:00,0,0.6
119,2019-04-12 14:30,1,2,2019-04-13 14:30,0,0.0,2019-04-14 14:30,0,1.9
120,2019-04-12 22:00,1,1,2019-04-13 22:00,0,0.0,2019-04-14 22:00,0,0.2
121,2019-04-13 2:00,1,3,2019-04-14 2:00,0,1.0,2019-04-15 2:00,0,0.1
122,2019-04-13 5:00,2,3,2019-04-14 5:00,0,0.3,2019-04-15 5:00,0,0.0
123,2019-04-13 7:00,1,3,2019-04-14 7:00,0,0.8999999999999999,2019-04-15 7:00,0,0.2
124,2019-04-13 7:30,1,1,2019-04-14 7:30,0,0.3,2019-04-15 7:30,0,0.0
125,2019-04-13 11:00,2,2,2019-04-14 11:00,0,3.5000000000000004,2019-04-15 11:00,0,0.0
126,2019-04-13 16:00,1,2,2019-04-14 16:00,0,1.5,2019-04-15 16:00,0,0.7000000000000001
127,2019-04-13 19:00,2,1,2019-04-14 19:00,0,0.4,2019-04-15 19:00,0,0.0
128,2019-04-13 22:30,1,1,2019-04-14 22:30,0,0.2,2019-04-15 22:30,0,0.1
129,2019-04-14 6:00,1,2,2019-04-15 6:00,0,0.1,2019-04-16 6:00,0,0.0
130,2019-04-14 8:30,2,2,2019-04-15 8:30,0,0.1,2019-04-16 8:30,0,0.8
131,2019-04-14 11:00,1,3,2019-04-15 11:00,0,0.2,2019-04-16 11:00,0,0.0
132,2019-04-14 11:30,1,1,2019-04-15 11:30,0,0.5,2019-04-16 11:30,0,0.0
133,2019-04-14 14:30,1,2,2019-04-15 14:30,0,0.7000000000000001,2019-04-16 14:30,0,0.1
134,2019-04-14 15:30,1,3,2019-04-15 15:30,0,0.6,2019-04-16 15:30,0,0.1
135,2019-04-14 20:00,2,3,2019-04-15 20:00,0,0.2,2019-04-16 20:00,0,0.1
136,2019-04-15 0:30,2,1,2019-04-16 0:30,0,0.0,2019-04-17 0:30,0,0.0
137,2019-04-15 0:30,2,3,2019-04-16 0:30,0,0.0,2019-04-17 0:30,0,0.1
138,2019-04-15 2:30,1,2,2019-04-16 2:30,0,0.0,2019-04-17 2:30,0,0.1
139,2019-04-15 4:00,2,2,2019-04-16 4:00,0,0.0,2019-04-17 4:00,0,0.0
140,2019-04-15 10:00,1,1,2019-04-16 10:00,0,0.1,2019-04-17 10:00,0,0.0
141,2019-04-15 13:00,2,3,2019-04-16 13:00,0,0.0,2019-04-17 13:00,0,0.0
142,2019-04-15 16:00,1,1,2019-04-16 16:00,0,0.0,2019-04-17 16:00,0,0.0
143,2019-04-15 17:00,1,3,2019-04-16 17:00,0,0.1,2019-04-17 17:00,0,0.1
144,2019-04-16 1:30,1,2,2019-04-17 1:30,0,0.1,2019-04-18 1:30,0,2.4
145,2019-04-16 4:00,1,3,2019-04-17 4:00,0,0.2,2019-04-18 4:00,0,4.0
146,2019-04-16 5:00,2,1,2019-04-17 5:00,0,0.0,2019-04-18 5:00,0,1.2
147,2019-04-16 6:30,2,1,2019-04-17 6:30,0,0.0,2019-04-18 6:30,0,1.6
148,2019-04-16 11:00,2,1,2019-04-17 11:00,0,0.0,2019-04-18 11:00,0,0.8
149,2019-04-16 14:00,1,1,2019-04-17 14:00,0,0.1,2019-04-18 14:00,0,1.0999999999999999
150,2019-04-16 14:30,2,3,2019-04-17 14:30,0,0.0,2019-04-18 14:30,0,0.4
151,2019-04-16 19:30,2,2,2019-04-17 19:30,0,0.1,2019-04-18 19:30,0,2.4
152,2019-04-16 20:30,1,3,2019-04-17 20:30,0,0.0,2019-04-18 20:30,1,8.3
153,2019-04-17 0:00,2,1,2019-04-18 0:00,0,1.0999999999999999,2019-04-19 0:00,0,0.4
154,2019-04-17 7:00,2,1,2019-04-18 7:00,0,1.9,2019-04-19 7:00,0,0.5
155,2019-04-17 8:30,2,3,2019-04-18 8:30,0,0.8,2019-04-19 8:30,0,1.6
156,2019-04-17 14:00,1,1,2019-04-18 14:00,0,1.0999999999999999,2019-04-19 14:00,0,0.8999999999999999
157,2019-04-17 14:30,1,3,2019-04-18 14:30,0,2.1,2019-04-19 14:30,0,1.3
158,2019-04-17 15:00,2,3,2019-04-18 15:00,0,0.4,2019-04-19 15:00,0,1.0
159,2019-04-18 1:30,2,2,2019-04-19 1:30,0,1.2,2019-04-20 1:30,0,0.8
160,2019-04-18 3:00,1,1,2019-04-19 3:00,0,0.6,2019-04-20 3:00,0,0.8999999999999999
161,2019-04-18 4:30,1,3,2019-04-19 4:30,0,2.1,2019-04-20 4:30,0,0.4
162,2019-04-18 11:30,2,1,2019-04-19 11:30,0,2.0,2019-04-20 11:30,0,1.0
163,2019-04-18 12:00,2,2,2019-04-19 12:00,0,1.2,2019-04-20 12:00,0,0.6
164,2019-04-18 14:00,2,1,2019-04-19 14:00,0,1.0,2019-04-20 14:00,0,0.3
165,2019-04-18 16:30,2,2,2019-04-19 16:30,0,0.2,2019-04-20 16:30,0,0.4
166,2019-04-18 22:00,1,2,2019-04-19 22:00,0,0.2,2019-04-20 22:00,0,0.2
167,2019-04-18 22:00,2,1,2019-04-19 22:00,0,0.1,2019-04-20 22:00,0,0.1
168,2019-04-18 23:00,2,3,2019-04-19 23:00,0,0.0,2019-04-20 23:00,0,0.1
169,2019-04-19 0:30,1,3,2019-04-20 0:30,0,0.2,2019-04-21 0:30,0,0.6
170,2019-04-19 1:30,2,1,2019-04-20 1:30,0,0.3,2019-04-21 1:30,0,0.0
171,2019-04-19 4:30,1,2,2019-04-20 4:30,0,0.3,2019-04-21 4:30,0,0.2
172,2019-04-19 8:30,1,3,2019-04-20 8:30,0,1.0,2019-04-21 8:30,0,1.0999999999999999
173,2019-04-19 13:30,1,1,2019-04-20 13:30,0,0.3,2019-04-21 13:30,0,0.1
174,2019-04-19 14:30,1,2,2019-04-20 14:30,0,0.1,2019-04-21 14:30,0,0.1
175,2019-04-19 16:30,1,1,2019-04-20 16:30,0,0.3,2019-04-21 16:30,0,0.2
176,2019-04-19 21:00,2,2,2019-04-20 21:00,0,0.5,2019-04-21 21:00,0,0.2
177,2019-04-20 0:00,2,2,2019-04-21 0:00,0,0.1,2019-04-22 0:00,0,0.0
178,2019-04-20 2:30,1,3,2019-04-21 2:30,0,0.5,2019-04-22 2:30,0,0.0
179,2019-04-20 3:00,2,3,2019-04-21 3:00,0,0.1,2019-04-22 3:00,0,0.0
180,2019-04-20 8:30,1,2,2019-04-21 8:30,0,0.3,2019-04-22 8:30,0,0.1
181,2019-04-20 10:30,2,1,2019-04-21 10:30,0,0.2,2019-04-22 10:30,0,0.0
182,2019-04-20 11:30,2,1,2019-04-21 11:30,0,0.3,2019-04-22 11:30,0,0.0
183,2019-04-20 11:30,2,3,2019-04-21 11:30,0,0.3,2019-04-22 11:30,0,0.0
184,2019-04-20 13:00,1,3,2019-04-21 13:00,0,0.3,2019-04-22 13:00,0,0.1
185,2019-04-20 18:00,2,3,2019-04-21 18:00,0,0.1,2019-04-22 18:00,0,0.0
186,2019-04-20 19:30,1,1,2019-04-21 19:30,0,0.3,2019-04-22 19:30,0,0.0
187,2019-04-21 1:00,2,2,2019-04-22 1:00,0,0.0,2019-04-23 1:00,0,0.0
188,2019-04-21 1:30,1,2,2019-04-22 1:30,0,0.0,2019-04-23 1:30,0,0.2
189,2019-04-21 2:30,2,1,2019-04-22 2:30,0,0.0,2019-04-23 2:30,0,0.3
190,2019-04-21 5:30,1,3,2019-04-22 5:30,0,0.0,2019-04-23 5:30,0,0.2
191,2019-04-21 8:30,1,1,2019-04-22 8:30,0,0.3,2019-04-23 8:30,0,0.0
192,2019-04-21 11:00,1,1,2019-04-22 11:00,0,0.1,2019-04-23 11:00,0,0.1
193,2019-04-21 13:30,1,1,2019-04-22 13:30,0,0.0,2019-04-23 13:30,0,0.2
194,2019-04-21 13:30,1,3,2019-04-22 13:30,0,0.0,2019-04-23 13:30,0,0.0
195,2019-04-21 18:30,1,1,2019-04-22 18:30,0,0.0,2019-04-23 18:30,0,0.0
196,2019-04-21 20:30,2,1,2019-04-22 20:30,0,0.0,2019-04-23 20:30,0,0.5
197,2019-04-21 23:30,1,2,2019-04-22 23:30,0,0.0,2019-04-23 23:30,0,0.7000000000000001
198,2019-04-22 0:00,2,1,2019-04-23 0:00,0,0.1,2019-04-24 0:00,0,0.2
199,2019-04-22 1:00,2,3,2019-04-23 1:00,0,0.0,2019-04-24 1:00,0,0.3
200,2019-04-22 7:30,1,3,2019-04-23 7:30,0,0.0,2019-04-24 7:30,0,0.3
201,2019-04-22 7:30,1,1,2019-04-23 7:30,0,0.0,2019-04-24 7:30,0,0.1
202,2019-04-22 8:30,1,1,2019-04-23 8:30,0,0.0,2019-04-24 8:30,0,0.1
203,2019-04-22 12:00,1,2,2019-04-23 12:00,0,0.2,2019-04-24 12:00,0,0.0
204,2019-04-22 13:00,1,2,2019-04-23 13:00,0,0.2,2019-04-24 13:00,0,0.0
205,2019-04-22 14:00,1,3,2019-04-23 14:00,0,0.1,2019-04-24 14:00,0,0.2
206,2019-04-22 15:00,1,1,2019-04-23 15:00,0,0.1,2019-04-24 15:00,0,0.0
207,2019-04-23 2:30,2,1,2019-04-24 2:30,0,0.2,2019-04-25 2:30,0,1.0
208,2019-04-23 3:00,2,3,2019-04-24 3:00,0,0.2,2019-04-25 3:00,0,0.6
209,2019-04-23 4:30,2,2,2019-04-24 4:30,0,0.2,2019-04-25 4:30,0,1.0999999999999999
210,2019-04-23 7:30,1,1,2019-04-24 7:30,0,0.1,2019-04-25 7:30,0,0.7000000000000001
211,2019-04-23 9:00,2,3,2019-04-24 9:00,0,0.1,2019-04-25 9:00,0,0.3
212,2019-04-23 9:30,2,2,2019-04-24 9:30,0,0.2,2019-04-25 9:30,0,0.8999999999999999
213,2019-04-23 17:00,1,2,2019-04-24 17:00,0,0.0,2019-04-25 17:00,0,1.7000000000000002
214,2019-04-24 1:30,2,3,2019-04-25 1:30,0,0.5,2019-04-26 1:30,0,4.3999999999999995
215,2019-04-24 1:30,1,1,2019-04-25 1:30,0,0.8,2019-04-26 1:30,0,5.0
216,2019-04-24 4:30,1,2,2019-04-25 4:30,0,0.8999999999999999,2019-04-26 4:30,1,9.4
217,2019-04-24 6:00,2,3,2019-04-25 6:00,0,0.4,2019-04-26 6:00,0,3.5999999999999996
218,2019-04-24 10:00,2,1,2019-04-25 10:00,0,1.0,2019-04-26 10:00,0,4.3
219,2019-04-24 16:00,2,1,2019-04-25 16:00,0,0.7000000000000001,2019-04-26 16:00,1,8.5
220,2019-04-24 20:00,2,2,2019-04-25 20:00,0,1.6,2019-04-26 20:00,0,4.6
221,2019-04-25 0:00,2,2,2019-04-26 0:00,0,6.0,2019-04-27 0:00,0,0.0
222,2019-04-25 0:30,2,1,2019-04-26 0:30,0,6.0,2019-04-27 0:30,0,0.3
223,2019-04-25 1:30,2,1,2019-04-26 1:30,0,5.6000000000000005,2019-04-27 1:30,0,0.3
224,2019-04-25 5:00,2,2,2019-04-26 5:00,0,4.9,2019-04-27 5:00,0,0.1
225,2019-04-25 7:30,1,2,2019-04-26 7:30,1,9.6,2019-04-27 7:30,0,0.3
226,2019-04-25 8:30,2,3,2019-04-26 8:30,0,2.4,2019-04-27 8:30,0,0.1
